Year,Month,Day,Hour,$/MWh
2024,11,30,24,57.02147
2024,12,1,1,62.70068
2024,12,1,2,61.75821
2024,12,1,3,57.35352
2024,12,1,4,55.90652
2024,12,1,5,56.60658
2024,12,1,6,57.80269
2024,12,1,7,58.07688
2024,12,1,8,49.86564
2024,12,1,9,37.80085
2024,12,1,10,34.08815
2024,12,1,11,31.62034
2024,12,1,12,30.1576
2024,12,1,13,28.80034
2024,12,1,14,29.85776
2024,12,1,15,33.74735
2024,12,1,16,53.23534
2024,12,1,17,63.97641
2024,12,1,18,65.28284
2024,12,1,19,64.42204
2024,12,1,20,63.25136
2024,12,1,21,62.86129
2024,12,1,22,63.21323
2024,12,1,23,61.25426
2024,12,1,24,60.03165
2024,12,2,1,63.337
2024,12,2,2,57.89857
2024,12,2,3,57.64262
2024,12,2,4,57.31855
2024,12,2,5,59.45669
2024,12,2,6,69.67575
2024,12,2,7,71.12528
2024,12,2,8,66.9828
2024,12,2,9,45.74668
2024,12,2,10,38.30448
2024,12,2,11,36.35627
2024,12,2,12,34.76212
2024,12,2,13,33.97658
2024,12,2,14,34.78688
2024,12,2,15,38.55158
2024,12,2,16,57.50902
2024,12,2,17,67.88229
2024,12,2,18,72.25106
2024,12,2,19,68.32257
2024,12,2,20,67.78776
2024,12,2,21,67.88361
2024,12,2,22,67.42546
2024,12,2,23,65.98542
2024,12,2,24,63.00509
2024,12,3,1,51.46248
2024,12,3,2,48.67576
2024,12,3,3,48.01769
2024,12,3,4,48.05726
2024,12,3,5,48.66773
2024,12,3,6,57.60724
2024,12,3,7,64.34152
2024,12,3,8,59.25329
2024,12,3,9,45.87193
2024,12,3,10,42.12609
2024,12,3,11,40.60305
2024,12,3,12,39.76813
2024,12,3,13,37.32468
2024,12,3,14,36.9807
2024,12,3,15,39.78478
2024,12,3,16,52.36285
2024,12,3,17,64.68629
2024,12,3,18,66.42089
2024,12,3,19,66.50663
2024,12,3,20,64.19262
2024,12,3,21,64.04416
2024,12,3,22,62.37935
2024,12,3,23,58.47343
2024,12,3,24,54.666
2024,12,4,1,47.70101
2024,12,4,2,46.80606
2024,12,4,3,45.74687
2024,12,4,4,45.84316
2024,12,4,5,46.61232
2024,12,4,6,53.88405
2024,12,4,7,58.15644
2024,12,4,8,54.80354
