OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2024-03-01,1,0,2024-03-01T08:00:00-00:00,2024-03-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
2024-03-01,7,0,2024-03-01T14:00:00-00:00,2024-03-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,9.97,DAM,7
2024-03-01,6,0,2024-03-01T13:00:00-00:00,2024-03-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
2024-03-01,18,0,2024-03-02T01:00:00-00:00,2024-03-02T02:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1034.12,DAM,8
2024-03-01,17,0,2024-03-02T00:00:00-00:00,2024-03-02T01:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1028.64,DAM,8
2024-03-01,16,0,2024-03-01T23:00:00-00:00,2024-03-02T00:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1007.8,DAM,8
2024-03-01,15,0,2024-03-01T22:00:00-00:00,2024-03-01T23:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,973.66,DAM,8
2024-03-01,14,0,2024-03-01T21:00:00-00:00,2024-03-01T22:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,944.57,DAM,8
2024-03-01,13,0,2024-03-01T20:00:00-00:00,2024-03-01T21:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,874.26,DAM,8
2024-03-01,12,0,2024-03-01T19:00:00-00:00,2024-03-01T20:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,727.82,DAM,8
2024-03-01,24,0,2024-03-02T07:00:00-00:00,2024-03-02T08:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1035.51,DAM,8
2024-03-01,23,0,2024-03-02T06:00:00-00:00,2024-03-02T07:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1067.38,DAM,8
2024-03-01,8,0,2024-03-01T15:00:00-00:00,2024-03-01T16:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,284.25,DAM,8
2024-03-01,7,0,2024-03-01T14:00:00-00:00,2024-03-01T15:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,271.65,DAM,8
2024-03-01,6,0,2024-03-01T13:00:00-00:00,2024-03-01T14:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,315.02,DAM,8
2024-03-01,5,0,2024-03-01T12:00:00-00:00,2024-03-01T13:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,379.31,DAM,8
2024-03-01,4,0,2024-03-01T11:00:00-00:00,2024-03-01T12:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,416.24,DAM,8
2024-03-01,3,0,2024-03-01T10:00:00-00:00,2024-03-01T11:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,438.35,DAM,8
2024-03-01,2,0,2024-03-01T09:00:00-00:00,2024-03-01T10:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,456.11,DAM,8
2024-03-01,1,0,2024-03-01T08:00:00-00:00,2024-03-01T09:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,464.88,DAM,8
2024-03-01,22,0,2024-03-02T05:00:00-00:00,2024-03-02T06:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1076.16,DAM,8
2024-03-01,21,0,2024-03-02T04:00:00-00:00,2024-03-02T05:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1070.92,DAM,8
2024-03-01,20,0,2024-03-02T03:00:00-00:00,2024-03-02T04:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1043.17,DAM,8
2024-03-01,11,0,2024-03-01T18:00:00-00:00,2024-03-01T19:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,568.84,DAM,8
2024-03-01,10,0,2024-03-01T17:00:00-00:00,2024-03-01T18:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,433.65,DAM,8
2024-03-01,19,0,2024-03-02T02:00:00-00:00,2024-03-02T03:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1028.08,DAM,8
2024-03-01,9,0,2024-03-01T16:00:00-00:00,2024-03-01T17:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,339.53,DAM,8
