Year,Month,Day,Hour,MW
2025,6,1,1,26100.4
2025,6,1,2,24670.63
2025,6,1,3,23541.75
2025,6,1,4,22753.55
2025,6,1,5,22262.41
2025,6,1,6,21961.86
2025,6,1,7,21521.73
2025,6,1,8,21442.22
2025,6,1,9,21398.89
2025,6,1,10,20900.45
2025,6,1,11,20681.06
2025,6,1,12,20590.22
2025,6,1,13,20838.77
2025,6,1,14,21593.12
2025,6,1,15,22570.21
2025,6,1,16,23873.36
2025,6,1,17,25099.43
2025,6,1,18,26793.3
2025,6,1,19,28454.04
2025,6,1,20,28902.88
2025,6,1,21,28986.64
2025,6,1,22,28419.91
2025,6,1,23,26723.32
2025,6,1,24,24922.08
2025,6,2,1,24115.48
2025,6,2,2,23063.02
2025,6,2,3,22274.02
2025,6,2,4,21788.2
2025,6,2,5,22059.31
2025,6,2,6,22878.59
2025,6,2,7,23893.51
2025,6,2,8,24551.26
2025,6,2,9,24248.19
2025,6,2,10,23308.25
2025,6,2,11,22231.44
2025,6,2,12,21644.49
2025,6,2,13,21721.12
2025,6,2,14,22316.71
2025,6,2,15,23363.0
2025,6,2,16,25103.67
2025,6,2,17,26732.31
2025,6,2,18,28502.97
2025,6,2,19,29957.21
2025,6,2,20,30469.21
2025,6,2,21,30335.89
2025,6,2,22,29671.26
2025,6,2,23,27495.91
2025,6,2,24,25467.78
2025,6,3,1,24238.77
2025,6,3,2,23124.69
2025,6,3,3,22219.79
2025,6,3,4,21763.94
2025,6,3,5,21979.38
2025,6,3,6,22820.76
2025,6,3,7,23854.63
2025,6,3,8,24671.75
2025,6,3,9,24375.43
2025,6,3,10,23595.42
2025,6,3,11,22618.31
2025,6,3,12,21771.84
2025,6,3,13,21744.39
2025,6,3,14,22411.3
2025,6,3,15,23577.16
2025,6,3,16,25043.5
2025,6,3,17,26689.45
2025,6,3,18,28506.4
2025,6,3,19,30003.02
2025,6,3,20,30519.49
2025,6,3,21,30547.4
2025,6,3,22,29900.01
2025,6,3,23,27851.09
2025,6,3,24,25787.47
2025,6,4,1,24564.8
2025,6,4,2,23565.07
2025,6,4,3,22649.81
2025,6,4,4,22201.06
2025,6,4,5,22363.68
2025,6,4,6,23220.49
2025,6,4,7,24245.67
2025,6,4,8,24987.84
2025,6,4,9,24863.49
2025,6,4,10,24076.38
2025,6,4,11,23113.15
2025,6,4,12,22296.63
2025,6,4,13,22143.64
2025,6,4,14,22546.3
2025,6,4,15,23473.03
2025,6,4,16,24776.0
2025,6,4,17,26494.72
2025,6,4,18,28215.49
2025,6,4,19,29474.56
2025,6,4,20,29887.95
2025,6,4,21,29973.18
2025,6,4,22,29315.61
2025,6,4,23,27407.42
2025,6,4,24,25475.43
2025,6,5,1,24939.21
2025,6,5,2,23955.78
2025,6,5,3,23041.17
2025,6,5,4,22435.9
2025,6,5,5,22487.6
2025,6,5,6,23294.43
2025,6,5,7,24213.91
2025,6,5,8,24955.16
2025,6,5,9,24573.57
2025,6,5,10,23725.85
2025,6,5,11,22722.66
2025,6,5,12,22118.69
2025,6,5,13,22120.14
2025,6,5,14,22740.99
2025,6,5,15,23794.46
2025,6,5,16,25453.06
2025,6,5,17,26994.52
2025,6,5,18,28798.01
2025,6,5,19,30198.7
2025,6,5,20,30444.88
2025,6,5,21,30419.61
2025,6,5,22,29783.13
2025,6,5,23,28001.98
2025,6,5,24,26047.86
2025,6,6,1,24962.82
2025,6,6,2,24020.46
2025,6,6,3,22854.4
2025,6,6,4,22309.79
2025,6,6,5,22530.55
2025,6,6,6,23262.68
2025,6,6,7,24052.99
2025,6,6,8,24671.36
2025,6,6,9,24417.79
2025,6,6,10,23438.66
2025,6,6,11,22706.65
2025,6,6,12,22370.48
2025,6,6,13,22443.31
2025,6,6,14,23163.46
2025,6,6,15,24562.74
2025,6,6,16,26219.98
2025,6,6,17,27789.67
2025,6,6,18,29472.84
2025,6,6,19,30486.73
2025,6,6,20,30653.57
2025,6,6,21,30516.27
2025,6,6,22,29846.58
2025,6,6,23,28198.44
2025,6,6,24,26178.23
2025,6,7,1,25147.88
2025,6,7,2,23995.91
2025,6,7,3,22771.89
2025,6,7,4,22056.49
2025,6,7,5,21848.62
2025,6,7,6,21936.45
2025,6,7,7,21714.73
2025,6,7,8,21728.51
2025,6,7,9,22022.64
2025,6,7,10,21348.68
2025,6,7,11,20622.76
2025,6,7,12,20190.31
2025,6,7,13,20383.04
2025,6,7,14,21050.76
2025,6,7,15,22357.38
2025,6,7,16,24040.81
2025,6,7,17,25829.79
2025,6,7,18,27866.65
2025,6,7,19,29410.79
2025,6,7,20,29753.01
2025,6,7,21,29609.39
2025,6,7,22,29092.77
2025,6,7,23,27657.11
2025,6,7,24,26012.92
2025,6,8,1,24475.92
2025,6,8,2,23224.29
2025,6,8,3,22194.15
2025,6,8,4,21476.35
2025,6,8,5,21185.87
2025,6,8,6,21079.11
2025,6,8,7,20678.67
2025,6,8,8,20502.48
2025,6,8,9,20363.44
2025,6,8,10,19713.67
2025,6,8,11,19036.91
2025,6,8,12,18771.66
2025,6,8,13,19164.53
2025,6,8,14,20186.09
2025,6,8,15,21836.02
2025,6,8,16,23749.2
2025,6,8,17,25742.81
2025,6,8,18,27897.63
2025,6,8,19,29558.31
2025,6,8,20,30119.65
2025,6,8,21,29876.85
2025,6,8,22,29210.57
2025,6,8,23,27319.02
2025,6,8,24,25410.07
2025,6,9,1,24167.01
2025,6,9,2,23046.72
2025,6,9,3,22125.72
2025,6,9,4,21706.01
2025,6,9,5,21974.33
2025,6,9,6,22862.34
2025,6,9,7,23773.87
2025,6,9,8,24833.75
2025,6,9,9,25134.06
2025,6,9,10,24851.41
2025,6,9,11,24123.35
2025,6,9,12,23659.75
2025,6,9,13,23850.47
2025,6,9,14,24786.87
2025,6,9,15,26297.29
2025,6,9,16,27957.66
2025,6,9,17,29335.92
2025,6,9,18,31270.21
2025,6,9,19,32327.66
2025,6,9,20,32605.65
2025,6,9,21,32270.48
2025,6,9,22,31502.04
2025,6,9,23,29332.64
2025,6,9,24,27256.06
2025,6,10,1,25153.3
2025,6,10,2,24030.2
2025,6,10,3,22912.04
2025,6,10,4,22431.54
2025,6,10,5,22600.36
2025,6,10,6,23373.58
2025,6,10,7,24236.28
2025,6,10,8,25188.0
2025,6,10,9,25488.05
2025,6,10,10,25056.5
2025,6,10,11,24467.94
2025,6,10,12,24247.78
2025,6,10,13,24263.73
2025,6,10,14,25393.23
2025,6,10,15,27203.95
2025,6,10,16,29153.81
2025,6,10,17,30699.48
2025,6,10,18,32561.01
2025,6,10,19,33527.78
2025,6,10,20,33468.26
2025,6,10,21,32926.64
2025,6,10,22,31862.4
2025,6,10,23,29526.0
2025,6,10,24,27320.03
2025,6,11,1,25562.6
2025,6,11,2,24494.54
2025,6,11,3,23219.96
2025,6,11,4,22647.45
2025,6,11,5,22913.41
2025,6,11,6,23646.62
2025,6,11,7,24695.43
2025,6,11,8,25446.91
2025,6,11,9,25306.74
2025,6,11,10,24754.97
2025,6,11,11,24014.42
2025,6,11,12,23422.55
2025,6,11,13,23649.53
2025,6,11,14,24572.9
2025,6,11,15,26091.62
2025,6,11,16,27972.03
2025,6,11,17,29397.92
2025,6,11,18,31013.68
2025,6,11,19,32143.03
2025,6,11,20,32394.52
2025,6,11,21,32091.8
2025,6,11,22,31197.4
2025,6,11,23,29194.77
2025,6,11,24,26951.57
2025,6,12,1,25319.69
2025,6,12,2,24186.46
2025,6,12,3,23063.76
2025,6,12,4,22638.22
2025,6,12,5,22856.09
2025,6,12,6,23581.74
2025,6,12,7,24668.67
2025,6,12,8,25178.01
2025,6,12,9,24584.9
2025,6,12,10,23467.65
2025,6,12,11,22418.26
2025,6,12,12,21826.66
2025,6,12,13,22035.79
2025,6,12,14,23216.49
2025,6,12,15,24467.2
2025,6,12,16,26288.44
2025,6,12,17,28045.55
2025,6,12,18,29854.22
2025,6,12,19,31175.57
2025,6,12,20,31364.62
2025,6,12,21,31267.22
2025,6,12,22,30573.61
2025,6,12,23,28608.15
2025,6,12,24,26632.03
2025,6,13,1,24947.62
2025,6,13,2,23894.39
2025,6,13,3,22792.24
2025,6,13,4,22296.29
2025,6,13,5,22493.0
2025,6,13,6,23213.79
2025,6,13,7,23941.37
2025,6,13,8,24549.16
2025,6,13,9,24273.85
2025,6,13,10,23147.18
2025,6,13,11,21881.04
2025,6,13,12,21402.1
2025,6,13,13,21560.58
2025,6,13,14,22426.19
2025,6,13,15,23775.11
2025,6,13,16,25354.9
2025,6,13,17,27038.4
2025,6,13,18,28692.09
2025,6,13,19,30122.41
2025,6,13,20,30416.2
2025,6,13,21,30241.95
2025,6,13,22,29759.63
2025,6,13,23,28091.0
2025,6,13,24,26269.52
2025,6,14,1,24683.66
2025,6,14,2,23410.31
2025,6,14,3,22266.81
2025,6,14,4,21585.43
2025,6,14,5,21409.61
2025,6,14,6,21399.97
2025,6,14,7,21238.85
2025,6,14,8,21323.79
2025,6,14,9,20933.71
2025,6,14,10,20212.81
2025,6,14,11,19240.14
2025,6,14,12,18596.09
2025,6,14,13,18715.78
2025,6,14,14,19447.71
2025,6,14,15,21063.24
2025,6,14,16,22877.54
2025,6,14,17,24978.76
