INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2025-06-01T13:00:00-00:00,2025-06-01T14:00:00-00:00,1,2025-06-01,7,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,890.93,DAM,1
2025-06-02T02:00:00-00:00,2025-06-02T03:00:00-00:00,1,2025-06-01,20,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1129.39,DAM,1
2025-06-01T07:00:00-00:00,2025-06-01T08:00:00-00:00,1,2025-06-01,1,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,921.66,DAM,1
2025-06-01T14:00:00-00:00,2025-06-01T15:00:00-00:00,1,2025-06-01,8,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,950.06,DAM,1
2025-06-01T19:00:00-00:00,2025-06-01T20:00:00-00:00,1,2025-06-01,13,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1090.45,DAM,1
2025-06-01T20:00:00-00:00,2025-06-01T21:00:00-00:00,1,2025-06-01,14,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1094.53,DAM,1
2025-06-02T04:00:00-00:00,2025-06-02T05:00:00-00:00,1,2025-06-01,22,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1073.84,DAM,1
2025-06-02T06:00:00-00:00,2025-06-02T07:00:00-00:00,1,2025-06-01,24,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,903.58,DAM,1
2025-06-01T17:00:00-00:00,2025-06-01T18:00:00-00:00,1,2025-06-01,11,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1065.13,DAM,1
2025-06-01T18:00:00-00:00,2025-06-01T19:00:00-00:00,1,2025-06-01,12,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1077.43,DAM,1
2025-06-01T10:00:00-00:00,2025-06-01T11:00:00-00:00,1,2025-06-01,4,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,847.64,DAM,1
2025-06-01T11:00:00-00:00,2025-06-01T12:00:00-00:00,1,2025-06-01,5,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,847.88,DAM,1
2025-06-02T00:00:00-00:00,2025-06-02T01:00:00-00:00,1,2025-06-01,18,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1147.06,DAM,1
