Year,Month,Day,Hour,LMP
2022,12,31,24,116.59799666666667
2023,1,1,1,118.54852999999999
2023,1,1,2,113.04644333333334
2023,1,1,3,112.32146333333333
2023,1,1,4,107.97671666666668
2023,1,1,5,106.89098666666666
2023,1,1,6,110.06884333333333
2023,1,1,7,125.95010666666667
2023,1,1,8,122.91520333333334
2023,1,1,9,101.71475666666667
2023,1,1,10,80.30918000000001
2023,1,1,11,66.50987333333335
2023,1,1,12,58.629933333333334
2023,1,1,13,53.28465666666667
2023,1,1,14,47.0412
2023,1,1,15,56.11210333333333
2023,1,1,16,86.21847333333334
2023,1,1,17,138.59790333333333
2023,1,1,18,153.33236333333335
2023,1,1,19,147.53500333333332
2023,1,1,20,146.14670666666666
2023,1,1,21,145.0
2023,1,1,22,145.0
2023,1,1,23,140.45131
2023,1,1,24,130.13922
2023,1,2,1,127.30101
2023,1,2,2,121.07153333333333
2023,1,2,3,119.64747333333332
2023,1,2,4,115.94197000000001
2023,1,2,5,116.44612000000001
2023,1,2,6,127.84151333333334
2023,1,2,7,146.74050333333332
2023,1,2,8,143.04944
2023,1,2,9,121.75882666666666
2023,1,2,10,110.49973333333332
2023,1,2,11,105.85358000000001
2023,1,2,12,105.95606333333335
2023,1,2,13,106.34984000000001
2023,1,2,14,106.39876333333332
2023,1,2,15,109.73738333333334
2023,1,2,16,129.90156
2023,1,2,17,158.25408333333334
2023,1,2,18,171.62601333333336
2023,1,2,19,163.85778666666667
2023,1,2,20,160.54911333333334
2023,1,2,21,159.88063666666667
2023,1,2,22,155.47064666666668
2023,1,2,23,143.80346
2023,1,2,24,135.82018666666667
2023,1,3,1,149.46656
2023,1,3,2,143.62401666666668
2023,1,3,3,143.40714333333332
2023,1,3,4,142.11425333333332
2023,1,3,5,144.70496666666665
2023,1,3,6,159.61573666666666
2023,1,3,7,187.0827433333333
2023,1,3,8,188.43363
2023,1,3,9,156.16452333333334
2023,1,3,10,146.9360366666667
2023,1,3,11,137.06088333333332
2023,1,3,12,134.13642333333334
2023,1,3,13,131.38284333333334
2023,1,3,14,127.97249666666666
2023,1,3,15,136.17190000000002
2023,1,3,16,160.3153
2023,1,3,17,194.00654999999998
2023,1,3,18,203.96622666666667
2023,1,3,19,199.99652333333333
2023,1,3,20,197.09128666666666
2023,1,3,21,196.68428000000003
2023,1,3,22,188.58018333333334
2023,1,3,23,177.82038666666668
2023,1,3,24,159.83029000000002
2023,1,4,1,196.21577666666667
2023,1,4,2,193.78956333333335
2023,1,4,3,188.36428
2023,1,4,4,194.9648666666667
2023,1,4,5,197.03269
2023,1,4,6,208.06650666666667
2023,1,4,7,239.45060666666666
2023,1,4,8,245.76887333333332
2023,1,4,9,224.49470333333332
2023,1,4,10,213.01517
2023,1,4,11,200.24388
2023,1,4,12,198.35644666666667
2023,1,4,13,195.99963666666667
2023,1,4,14,196.25429999999997
2023,1,4,15,198.69969333333333
2023,1,4,16,219.22538
2023,1,4,17,242.2902366666667
2023,1,4,18,255.93582999999998
2023,1,4,19,249.98292
2023,1,4,20,243.91500666666664
2023,1,4,21,237.00483333333332
2023,1,4,22,222.16015666666667
2023,1,4,23,208.07934999999998
2023,1,4,24,205.83939999999998
2023,1,5,1,154.12259333333336
2023,1,5,2,148.37729666666667
2023,1,5,3,147.08843
2023,1,5,4,150.3144133333333
2023,1,5,5,154.20464666666666
2023,1,5,6,167.38222666666667
2023,1,5,7,193.93500666666668
2023,1,5,8,196.77939
2023,1,5,9,191.30280666666667
2023,1,5,10,179.08140666666668
2023,1,5,11,179.65025333333332
2023,1,5,12,175.03812000000002
2023,1,5,13,169.79874333333333
