Year,Month,Day,Hour,$/MWh
2024,12,31,24,51.7871
2025,1,1,1,43.09418
2025,1,1,2,43.13033
2025,1,1,3,42.84017
2025,1,1,4,42.30451
2025,1,1,5,42.97068
2025,1,1,6,42.97941
2025,1,1,7,43.30194
2025,1,1,8,39.39619
2025,1,1,9,29.60241
2025,1,1,10,27.29736
2025,1,1,11,26.01544
2025,1,1,12,24.24955
2025,1,1,13,22.21368
2025,1,1,14,21.48118
2025,1,1,15,24.36038
2025,1,1,16,32.48794
2025,1,1,17,46.67188
2025,1,1,18,47.50605
2025,1,1,19,47.15731
2025,1,1,20,46.85941
2025,1,1,21,46.83042
2025,1,1,22,46.54366
2025,1,1,23,46.4611
2025,1,1,24,45.17896
2025,1,2,1,43.56846
2025,1,2,2,42.56156
2025,1,2,3,41.44163
2025,1,2,4,41.29647
2025,1,2,5,43.72738
2025,1,2,6,48.03712
2025,1,2,7,53.80872
2025,1,2,8,50.20359
2025,1,2,9,36.24868
2025,1,2,10,31.37498
2025,1,2,11,30.4148
2025,1,2,12,30.30874
2025,1,2,13,28.72371
2025,1,2,14,27.5231
2025,1,2,15,29.25374
2025,1,2,16,36.26717
2025,1,2,17,48.67146
2025,1,2,18,49.92982
2025,1,2,19,49.09746
2025,1,2,20,48.26352
2025,1,2,21,47.82684
2025,1,2,22,46.98496
2025,1,2,23,46.77488
2025,1,2,24,44.78125
2025,1,3,1,46.65002
2025,1,3,2,44.14014
2025,1,3,3,43.91244
2025,1,3,4,43.94485
2025,1,3,5,45.32146
2025,1,3,6,49.22505
2025,1,3,7,52.30425
2025,1,3,8,53.80235
2025,1,3,9,47.70001
2025,1,3,10,45.50077
2025,1,3,11,41.67358
2025,1,3,12,41.21662
2025,1,3,13,38.33863
2025,1,3,14,37.79955
2025,1,3,15,38.23183
2025,1,3,16,43.343
2025,1,3,17,48.42678
2025,1,3,18,49.04245
2025,1,3,19,46.23951
2025,1,3,20,44.8832
2025,1,3,21,43.68175
2025,1,3,22,42.77557
2025,1,3,23,41.08463
2025,1,3,24,39.48765
2025,1,4,1,39.13
2025,1,4,2,40.15899
2025,1,4,3,39.64546
2025,1,4,4,38.31341
2025,1,4,5,40.26937
2025,1,4,6,40.54445
2025,1,4,7,41.24333
2025,1,4,8,40.8063
2025,1,4,9,21.9573
2025,1,4,10,19.41807
2025,1,4,11,16.72281
2025,1,4,12,15.90671
2025,1,4,13,14.27874
2025,1,4,14,13.38093
2025,1,4,15,16.75832
2025,1,4,16,27.57691
2025,1,4,17,43.26873
2025,1,4,18,47.65004
2025,1,4,19,47.31094
2025,1,4,20,47.10903
2025,1,4,21,46.80001
2025,1,4,22,46.68306
2025,1,4,23,46.20139
2025,1,4,24,45.09296
2025,1,5,1,44.34649
2025,1,5,2,43.85395
2025,1,5,3,43.05873
2025,1,5,4,42.33292
2025,1,5,5,43.52337
2025,1,5,6,43.56761
2025,1,5,7,44.58269
2025,1,5,8,41.8823
2025,1,5,9,24.33387
2025,1,5,10,18.25757
2025,1,5,11,16.39993
2025,1,5,12,14.48036
2025,1,5,13,11.80367
2025,1,5,14,9.12208
2025,1,5,15,15.43811
2025,1,5,16,25.84204
2025,1,5,17,46.4636
2025,1,5,18,48.56839
2025,1,5,19,46.95909
2025,1,5,20,48.70627
2025,1,5,21,48.44221
2025,1,5,22,48.03991
2025,1,5,23,47.59085
2025,1,5,24,46.42171
2025,1,6,1,45.07301
2025,1,6,2,44.87049
2025,1,6,3,44.33628
2025,1,6,4,43.23798
2025,1,6,5,45.83248
2025,1,6,6,49.14758
2025,1,6,7,51.1464
2025,1,6,8,52.56396
2025,1,6,9,40.69907
2025,1,6,10,31.67079
2025,1,6,11,29.04564
2025,1,6,12,28.08039
2025,1,6,13,26.14612
2025,1,6,14,23.10123
2025,1,6,15,23.46483
2025,1,6,16,32.85238
2025,1,6,17,47.45245
2025,1,6,18,50.69416
2025,1,6,19,49.56031
2025,1,6,20,48.64682
2025,1,6,21,48.49976
2025,1,6,22,48.44822
2025,1,6,23,47.40468
2025,1,6,24,46.44513
2025,1,7,1,51.74141
2025,1,7,2,51.51499
2025,1,7,3,50.12515
2025,1,7,4,49.94403
2025,1,7,5,51.47179
2025,1,7,6,58.33812
2025,1,7,7,64.70406
2025,1,7,8,62.77938
2025,1,7,9,49.6625
2025,1,7,10,42.06651
2025,1,7,11,36.4368
2025,1,7,12,33.64916
2025,1,7,13,30.71811
2025,1,7,14,25.97596
2025,1,7,15,26.99756
2025,1,7,16,36.82713
2025,1,7,17,55.0016
2025,1,7,18,58.52102
2025,1,7,19,55.81851
2025,1,7,20,54.51967
2025,1,7,21,54.49489
2025,1,7,22,54.04544
2025,1,7,23,53.72993
2025,1,7,24,52.94381
2025,1,8,1,45.35553
2025,1,8,2,44.58239
2025,1,8,3,44.09891
2025,1,8,4,44.10341
2025,1,8,5,45.24463
2025,1,8,6,50.30687
2025,1,8,7,54.65231
2025,1,8,8,55.49008
2025,1,8,9,45.13964
2025,1,8,10,35.93873
2025,1,8,11,32.25296
2025,1,8,12,30.37913
2025,1,8,13,29.06185
2025,1,8,14,25.25193
2025,1,8,15,28.46304
2025,1,8,16,40.16583
2025,1,8,17,52.70261
2025,1,8,18,56.23656
2025,1,8,19,56.02622
2025,1,8,20,55.52269
2025,1,8,21,54.40496
2025,1,8,22,53.43383
2025,1,8,23,51.79021
2025,1,8,24,47.7929
2025,1,9,1,49.06425
2025,1,9,2,47.80017
2025,1,9,3,47.34376
2025,1,9,4,47.32443
2025,1,9,5,48.5385
2025,1,9,6,52.15792
2025,1,9,7,60.48873
2025,1,9,8,59.40983
2025,1,9,9,42.31169
2025,1,9,10,30.13533
2025,1,9,11,28.25493
2025,1,9,12,27.31908
2025,1,9,13,24.61036
2025,1,9,14,23.07707
2025,1,9,15,24.61103
2025,1,9,16,36.86195
2025,1,9,17,51.357
2025,1,9,18,53.9603
2025,1,9,19,53.13212
2025,1,9,20,52.04251
2025,1,9,21,51.92855
2025,1,9,22,51.18311
2025,1,9,23,51.52241
2025,1,9,24,49.89545
2025,1,10,1,44.72438
2025,1,10,2,44.19049
2025,1,10,3,44.02448
2025,1,10,4,44.19698
2025,1,10,5,44.30847
2025,1,10,6,51.3729
2025,1,10,7,57.22827
2025,1,10,8,52.84577
2025,1,10,9,38.53234
2025,1,10,10,29.27591
