Year,Month,Day,Hour,MW
2025,9,1,1,28209.82
2025,9,1,2,26475.96
2025,9,1,3,25102.27
2025,9,1,4,24100.21
2025,9,1,5,23645.29
2025,9,1,6,23720.27
2025,9,1,7,24021.19
2025,9,1,8,24126.24
2025,9,1,9,24485.99
2025,9,1,10,24688.82
2025,9,1,11,25490.3
2025,9,1,12,26761.38
2025,9,1,13,28529.02
2025,9,1,14,30621.76
2025,9,1,15,33215.18
2025,9,1,16,36200.44
2025,9,1,17,38462.79
2025,9,1,18,40494.32
2025,9,1,19,40991.5
2025,9,1,20,39749.18
2025,9,1,21,38507.0
2025,9,1,22,36867.77
2025,9,1,23,34129.05
2025,9,1,24,31214.86
2025,9,2,1,28960.31
2025,9,2,2,27328.34
2025,9,2,3,25837.34
2025,9,2,4,24996.04
2025,9,2,5,24929.82
2025,9,2,6,25779.72
2025,9,2,7,27273.53
2025,9,2,8,28311.57
2025,9,2,9,29146.98
2025,9,2,10,29902.94
2025,9,2,11,30547.79
2025,9,2,12,31734.21
2025,9,2,13,33452.47
2025,9,2,14,35529.11
2025,9,2,15,37733.91
2025,9,2,16,39747.07
2025,9,2,17,41076.83
2025,9,2,18,41772.43
2025,9,2,19,41564.41
2025,9,2,20,40549.66
2025,9,2,21,39077.04
2025,9,2,22,37374.23
2025,9,2,23,34514.4
2025,9,2,24,31620.62
2025,9,3,1,29619.34
2025,9,3,2,27947.37
2025,9,3,3,26431.97
2025,9,3,4,25549.13
2025,9,3,5,25381.75
2025,9,3,6,26196.36
2025,9,3,7,27626.4
2025,9,3,8,28498.65
2025,9,3,9,28856.42
2025,9,3,10,29038.27
2025,9,3,11,29363.28
2025,9,3,12,30360.26
2025,9,3,13,31881.28
2025,9,3,14,33892.65
2025,9,3,15,36044.19
2025,9,3,16,38156.45
2025,9,3,17,39735.19
2025,9,3,18,40925.86
2025,9,3,19,41099.95
2025,9,3,20,39926.7
2025,9,3,21,38477.53
2025,9,3,22,36728.39
2025,9,3,23,34028.3
2025,9,3,24,31234.55
2025,9,4,1,29120.19
2025,9,4,2,27445.62
2025,9,4,3,25968.28
2025,9,4,4,25119.09
2025,9,4,5,25070.41
2025,9,4,6,25918.39
2025,9,4,7,27495.82
2025,9,4,8,28460.44
2025,9,4,9,28647.3
2025,9,4,10,28521.64
2025,9,4,11,28514.56
2025,9,4,12,28898.15
2025,9,4,13,29969.25
2025,9,4,14,31658.52
2025,9,4,15,33695.48
2025,9,4,16,35851.16
2025,9,4,17,37544.85
2025,9,4,18,38910.02
2025,9,4,19,39035.42
2025,9,4,20,38432.15
2025,9,4,21,37322.32
2025,9,4,22,35736.03
2025,9,4,23,33109.83
2025,9,4,24,30556.25
2025,9,5,1,28567.12
2025,9,5,2,26993.44
2025,9,5,3,25628.21
2025,9,5,4,24891.73
2025,9,5,5,24776.39
2025,9,5,6,25575.81
2025,9,5,7,26899.79
2025,9,5,8,27759.91
2025,9,5,9,28008.6
2025,9,5,10,27818.04
2025,9,5,11,27597.5
2025,9,5,12,27628.87
2025,9,5,13,28434.4
2025,9,5,14,30033.57
2025,9,5,15,31856.19
2025,9,5,16,33979.05
2025,9,5,17,35685.61
2025,9,5,18,36999.02
2025,9,5,19,37209.45
2025,9,5,20,36446.93
2025,9,5,21,35351.61
2025,9,5,22,33881.58
2025,9,5,23,31601.81
2025,9,5,24,29459.24
2025,9,6,1,27133.77
2025,9,6,2,25709.47
2025,9,6,3,24311.52
2025,9,6,4,23432.97
2025,9,6,5,22986.0
2025,9,6,6,23091.81
2025,9,6,7,23369.7
2025,9,6,8,23486.15
2025,9,6,9,23574.82
2025,9,6,10,23073.56
2025,9,6,11,22716.72
2025,9,6,12,22703.72
2025,9,6,13,23548.1
2025,9,6,14,24981.89
2025,9,6,15,27054.53
2025,9,6,16,29378.94
2025,9,6,17,31394.42
2025,9,6,18,33378.47
2025,9,6,19,34172.22
2025,9,6,20,33799.7
2025,9,6,21,32754.67
2025,9,6,22,31501.16
2025,9,6,23,29685.15
2025,9,6,24,27705.38
2025,9,7,1,26715.37
2025,9,7,2,25357.01
2025,9,7,3,24081.3
2025,9,7,4,23222.16
2025,9,7,5,22792.3
2025,9,7,6,22767.12
2025,9,7,7,22891.34
2025,9,7,8,22714.72
2025,9,7,9,22109.52
2025,9,7,10,21376.53
2025,9,7,11,21249.85
2025,9,7,12,21527.4
2025,9,7,13,22496.63
2025,9,7,14,24235.83
2025,9,7,15,26388.12
2025,9,7,16,29047.81
2025,9,7,17,31596.84
2025,9,7,18,33870.67
2025,9,7,19,34801.5
2025,9,7,20,34475.55
2025,9,7,21,33402.92
2025,9,7,22,32115.54
2025,9,7,23,30015.17
2025,9,7,24,27714.17
2025,9,8,1,26487.16
2025,9,8,2,25227.13
2025,9,8,3,24025.07
2025,9,8,4,23377.74
2025,9,8,5,23404.94
2025,9,8,6,24461.12
2025,9,8,7,25954.2
2025,9,8,8,26908.34
2025,9,8,9,26764.4
2025,9,8,10,26322.17
2025,9,8,11,26004.08
2025,9,8,12,26090.04
2025,9,8,13,26809.19
2025,9,8,14,28228.21
2025,9,8,15,29966.83
2025,9,8,16,32054.95
2025,9,8,17,33945.98
2025,9,8,18,35692.87
2025,9,8,19,35971.93
2025,9,8,20,35335.13
2025,9,8,21,34074.21
2025,9,8,22,32628.95
2025,9,8,23,30391.98
2025,9,8,24,27980.37
2025,9,9,1,26098.78
2025,9,9,2,24760.66
2025,9,9,3,23677.23
2025,9,9,4,23076.1
2025,9,9,5,23161.12
2025,9,9,6,24150.01
2025,9,9,7,25689.89
2025,9,9,8,26532.5
2025,9,9,9,26758.72
2025,9,9,10,26286.59
2025,9,9,11,25744.11
2025,9,9,12,25635.11
2025,9,9,13,25990.5
2025,9,9,14,26944.19
2025,9,9,15,28200.78
2025,9,9,16,29884.1
2025,9,9,17,31334.46
2025,9,9,18,32508.97
2025,9,9,19,32633.12
2025,9,9,20,32616.41
2025,9,9,21,31887.57
2025,9,9,22,30754.4
2025,9,9,23,28823.46
2025,9,9,24,26756.03
2025,9,10,1,25659.56
2025,9,10,2,24507.21
2025,9,10,3,23431.81
2025,9,10,4,22855.06
2025,9,10,5,22987.78
2025,9,10,6,23958.3
2025,9,10,7,25533.44
2025,9,10,8,26728.47
2025,9,10,9,26758.51
2025,9,10,10,25626.14
2025,9,10,11,24768.38
2025,9,10,12,24440.25
2025,9,10,13,24457.26
2025,9,10,14,25207.74
2025,9,10,15,26391.03
2025,9,10,16,27843.29
2025,9,10,17,29418.46
2025,9,10,18,30624.46
2025,9,10,19,31196.4
2025,9,10,20,31107.96
2025,9,10,21,30398.81
2025,9,10,22,29534.87
2025,9,10,23,27906.54
2025,9,10,24,26125.37
2025,9,11,1,25197.36
2025,9,11,2,24092.95
2025,9,11,3,23102.95
2025,9,11,4,22592.05
2025,9,11,5,22863.38
2025,9,11,6,23870.26
2025,9,11,7,25552.11
2025,9,11,8,26273.71
2025,9,11,9,25776.57
2025,9,11,10,24938.58
2025,9,11,11,23911.71
2025,9,11,12,23453.62
2025,9,11,13,23353.64
2025,9,11,14,24051.64
2025,9,11,15,25325.23
2025,9,11,16,26937.07
2025,9,11,17,28711.84
2025,9,11,18,30460.02
2025,9,11,19,31054.35
2025,9,11,20,31091.87
2025,9,11,21,30578.5
2025,9,11,22,29608.25
2025,9,11,23,28110.72
2025,9,11,24,26323.05
2025,9,12,1,25480.0
2025,9,12,2,24319.22
2025,9,12,3,23321.94
2025,9,12,4,22676.52
2025,9,12,5,22826.57
2025,9,12,6,23804.07
2025,9,12,7,25528.75
2025,9,12,8,26313.25
2025,9,12,9,26006.75
2025,9,12,10,25089.58
2025,9,12,11,24157.33
2025,9,12,12,23664.77
2025,9,12,13,23716.57
2025,9,12,14,24452.71
2025,9,12,15,26047.96
2025,9,12,16,28296.84
2025,9,12,17,30101.39
2025,9,12,18,31825.78
2025,9,12,19,32374.19
2025,9,12,20,32082.99
2025,9,12,21,31432.17
2025,9,12,22,30417.46
2025,9,12,23,28687.49
2025,9,12,24,27011.78
2025,9,13,1,25319.95
2025,9,13,2,24086.19
2025,9,13,3,22966.31
2025,9,13,4,22307.6
2025,9,13,5,22047.37
2025,9,13,6,22245.79
2025,9,13,7,22672.14
2025,9,13,8,22627.12
2025,9,13,9,22579.94
2025,9,13,10,21623.47
2025,9,13,11,20629.44
2025,9,13,12,20118.02
2025,9,13,13,20206.52
2025,9,13,14,21050.64
2025,9,13,15,22804.77
2025,9,13,16,25129.61
2025,9,13,17,27447.78
2025,9,13,18,29470.61
2025,9,13,19,30497.88
2025,9,13,20,30424.53
2025,9,13,21,29879.89
2025,9,13,22,28960.64
2025,9,13,23,27438.37
2025,9,13,24,25867.9
2025,9,14,1,24617.41
2025,9,14,2,23459.5
2025,9,14,3,22322.79
2025,9,14,4,21657.82
2025,9,14,5,21304.76
2025,9,14,6,21452.58
2025,9,14,7,21731.95
2025,9,14,8,21895.64
2025,9,14,9,21896.15
2025,9,14,10,21253.17
2025,9,14,11,20256.22
2025,9,14,12,19689.35
2025,9,14,13,19933.8
2025,9,14,14,21136.88
2025,9,14,15,23204.48
2025,9,14,16,25818.75
