Year,Month,Day,Hour,$/MWh
2025,6,1,1,38.43357
2025,6,1,2,38.17063
2025,6,1,3,37.51684
2025,6,1,4,37.53009
2025,6,1,5,34.93428
2025,6,1,6,33.58992
2025,6,1,7,32.78353
2025,6,1,8,26.82105
2025,6,1,9,26.11414
2025,6,1,10,26.14173
2025,6,1,11,25.15838
2025,6,1,12,24.63554
2025,6,1,13,26.24874
2025,6,1,14,26.50087
2025,6,1,15,26.99556
2025,6,1,16,30.74716
2025,6,1,17,36.39595
2025,6,1,18,42.2255
2025,6,1,19,46.91649
2025,6,1,20,48.20418
2025,6,1,21,47.9996
2025,6,1,22,46.72643
2025,6,1,23,44.57346
2025,6,1,24,43.70036
2025,6,2,1,38.49355
2025,6,2,2,41.35339
2025,6,2,3,37.38706
2025,6,2,4,37.23448
2025,6,2,5,41.28994
2025,6,2,6,41.57175
2025,6,2,7,42.06063
2025,6,2,8,24.46741
2025,6,2,9,18.10114
2025,6,2,10,14.66042
2025,6,2,11,14.13324
2025,6,2,12,13.12485
2025,6,2,13,10.68002
2025,6,2,14,12.8729
2025,6,2,15,14.4294
2025,6,2,16,16.65461
2025,6,2,17,17.82321
2025,6,2,18,28.48133
2025,6,2,19,42.40882
2025,6,2,20,53.07856
2025,6,2,21,54.57078
2025,6,2,22,47.84633
2025,6,2,23,40.16673
2025,6,2,24,39.41741
2025,6,3,1,41.65654
2025,6,3,2,41.54225
2025,6,3,3,40.64215
2025,6,3,4,37.3994
2025,6,3,5,40.79135
2025,6,3,6,42.52715
2025,6,3,7,43.99669
2025,6,3,8,27.91914
2025,6,3,9,23.70508
2025,6,3,10,23.25556
2025,6,3,11,21.23057
2025,6,3,12,19.34148
2025,6,3,13,20.46178
2025,6,3,14,21.97905
2025,6,3,15,23.32319
2025,6,3,16,25.09946
2025,6,3,17,28.67322
2025,6,3,18,34.45386
2025,6,3,19,44.61743
2025,6,3,20,55.41779
2025,6,3,21,54.24976
2025,6,3,22,48.92649
2025,6,3,23,42.98815
2025,6,3,24,42.03299
2025,6,4,1,38.09388
2025,6,4,2,38.15269
2025,6,4,3,35.79718
2025,6,4,4,35.12432
2025,6,4,5,35.46257
2025,6,4,6,38.52846
2025,6,4,7,39.40096
2025,6,4,8,27.65751
2025,6,4,9,25.41249
2025,6,4,10,24.83487
2025,6,4,11,24.44686
2025,6,4,12,23.9863
2025,6,4,13,22.94866
2025,6,4,14,23.61204
2025,6,4,15,23.87204
2025,6,4,16,26.3539
2025,6,4,17,27.36267
2025,6,4,18,30.77522
2025,6,4,19,43.92209
2025,6,4,20,52.12079
2025,6,4,21,52.84854
2025,6,4,22,47.30745
2025,6,4,23,42.1402
2025,6,4,24,41.25611
2025,6,5,1,44.63398
2025,6,5,2,42.84417
2025,6,5,3,39.31506
2025,6,5,4,39.32526
2025,6,5,5,44.37918
2025,6,5,6,44.74348
2025,6,5,7,44.30609
2025,6,5,8,29.80739
2025,6,5,9,25.43309
2025,6,5,10,25.39975
2025,6,5,11,25.18896
2025,6,5,12,25.39975
2025,6,5,13,25.38898
2025,6,5,14,25.37572
2025,6,5,15,26.5
2025,6,5,16,25.39975
2025,6,5,17,26.34621
2025,6,5,18,37.00508
2025,6,5,19,46.10047
2025,6,5,20,54.89707
2025,6,5,21,54.3477
2025,6,5,22,49.91016
2025,6,5,23,45.39689
2025,6,5,24,45.14756
2025,6,6,1,38.35658
2025,6,6,2,38.09258
2025,6,6,3,37.27866
2025,6,6,4,36.89899
2025,6,6,5,37.67021
2025,6,6,6,38.93768
2025,6,6,7,39.40559
2025,6,6,8,25.72351
2025,6,6,9,22.05871
2025,6,6,10,21.91005
2025,6,6,11,21.88306
2025,6,6,12,21.84728
2025,6,6,13,20.90814
2025,6,6,14,20.5252
2025,6,6,15,23.7014
2025,6,6,16,23.84888
2025,6,6,17,26.86
2025,6,6,18,33.70104
2025,6,6,19,43.2725
