INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,SRP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3135.96,DAM,27
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,TEPC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1171.12,DAM,28
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,TIDC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,265.7,DAM,29
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,TPWR,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,577.91,DAM,30
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,74.22,DAM,31
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,WALC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,571.71,DAM,32
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,WALCAEPCO,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,409.81,DAM,33
2025-02-01T07:00:00-00:00,2025-02-01T08:00:00-00:00,1,2025-01-31,24,0,DAM,WALCDSW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,161.9,DAM,34
2025-02-01T09:00:00-00:00,2025-02-01T10:00:00-00:00,1,2025-02-01,2,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1159.65,DAM,35
2025-02-02T05:00:00-00:00,2025-02-02T06:00:00-00:00,1,2025-02-01,22,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1418.39,DAM,35
2025-02-02T06:00:00-00:00,2025-02-02T07:00:00-00:00,1,2025-02-01,23,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1360.88,DAM,35
2025-02-01T17:00:00-00:00,2025-02-01T18:00:00-00:00,1,2025-02-01,10,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1457.54,DAM,35
2025-02-01T19:00:00-00:00,2025-02-01T20:00:00-00:00,1,2025-02-01,12,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1427.63,DAM,35
2025-02-02T00:00:00-00:00,2025-02-02T01:00:00-00:00,1,2025-02-01,17,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1421.56,DAM,35
2025-02-01T20:00:00-00:00,2025-02-01T21:00:00-00:00,1,2025-02-01,13,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1401.27,DAM,35
2025-02-01T21:00:00-00:00,2025-02-01T22:00:00-00:00,1,2025-02-01,14,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1370.52,DAM,35
2025-02-01T22:00:00-00:00,2025-02-01T23:00:00-00:00,1,2025-02-01,15,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1355.3,DAM,35
2025-02-01T11:00:00-00:00,2025-02-01T12:00:00-00:00,1,2025-02-01,4,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1154.16,DAM,35
