Year,Month,Day,Hour,$/MWh
2023,6,1,1,29.74407
2023,6,1,2,28.49
2023,6,1,3,26.44383
2023,6,1,4,26.79328
2023,6,1,5,30.75092
2023,6,1,6,37.24621
2023,6,1,7,36.72613
2023,6,1,8,22.50601
2023,6,1,9,10.35411
2023,6,1,10,8.30801
2023,6,1,11,8.17384
2023,6,1,12,7.83563
2023,6,1,13,7.81456
2023,6,1,14,8.21831
2023,6,1,15,8.4453
2023,6,1,16,8.34513
2023,6,1,17,12.10798
2023,6,1,18,23.60142
2023,6,1,19,38.18424
2023,6,1,20,49.922
2023,6,1,21,52.89886
2023,6,1,22,43.76595
2023,6,1,23,36.58662
2023,6,1,24,31.97829
2023,6,2,1,28.62374
2023,6,2,2,26.69121
2023,6,2,3,25.73982
2023,6,2,4,26.54038
2023,6,2,5,28.82442
2023,6,2,6,37.33906
2023,6,2,7,28.55693
2023,6,2,8,16.14265
2023,6,2,9,7.80336
2023,6,2,10,5.23341
2023,6,2,11,4.40358
2023,6,2,12,4.92596
2023,6,2,13,4.34408
2023,6,2,14,4.99631
2023,6,2,15,6.85758
2023,6,2,16,6.93336
2023,6,2,17,10.86308
2023,6,2,18,18.16216
2023,6,2,19,37.79381
2023,6,2,20,45.20502
2023,6,2,21,48.83922
2023,6,2,22,38.52879
2023,6,2,23,37.46964
2023,6,2,24,34.30992
2023,6,3,1,29.77593
2023,6,3,2,27.51074
2023,6,3,3,27.64616
2023,6,3,4,27.57771
2023,6,3,5,28.4868
2023,6,3,6,32.19496
2023,6,3,7,25.34969
2023,6,3,8,5.51977
2023,6,3,9,1.06148
2023,6,3,10,0.76907
2023,6,3,11,0.5176
2023,6,3,12,0.73186
2023,6,3,13,0.34847
2023,6,3,14,1.0627
2023,6,3,15,3.06341
2023,6,3,16,7.9573
2023,6,3,17,10.44168
2023,6,3,18,23.27781
2023,6,3,19,35.45401
2023,6,3,20,50.24621
2023,6,3,21,48.92072
2023,6,3,22,39.07696
2023,6,3,23,35.24896
2023,6,3,24,32.62733
2023,6,4,1,29.0305
2023,6,4,2,29.04464
2023,6,4,3,28.43107
2023,6,4,4,28.38656
2023,6,4,5,28.7589
2023,6,4,6,30.95784
2023,6,4,7,26.6553
2023,6,4,8,8.24487
2023,6,4,9,4.15326
2023,6,4,10,4.29716
2023,6,4,11,4.46512
2023,6,4,12,5.01486
2023,6,4,13,4.54128
2023,6,4,14,5.77443
2023,6,4,15,8.44257
2023,6,4,16,15.5017
2023,6,4,17,22.1269
2023,6,4,18,31.8191
2023,6,4,19,40.97262
2023,6,4,20,62.02946
2023,6,4,21,57.64951
2023,6,4,22,45.63878
2023,6,4,23,38.49385
2023,6,4,24,35.28387
2023,6,5,1,30.30733
2023,6,5,2,28.39482
2023,6,5,3,28.50942
2023,6,5,4,28.37003
2023,6,5,5,30.1
2023,6,5,6,37.11886
2023,6,5,7,43.2277
2023,6,5,8,29.79236
2023,6,5,9,26.75843
2023,6,5,10,26.93595
2023,6,5,11,27.14494
2023,6,5,12,26.61457
2023,6,5,13,27.27903
2023,6,5,14,27.84988
2023,6,5,15,26.16378
2023,6,5,16,27.14904
2023,6,5,17,29.41537
2023,6,5,18,36.4375
2023,6,5,19,48.7412
2023,6,5,20,60.75605
2023,6,5,21,59.032
2023,6,5,22,45.79411
2023,6,5,23,38.22617
2023,6,5,24,34.29625
2023,6,6,1,40.14718
2023,6,6,2,38.13689
2023,6,6,3,34.80181
2023,6,6,4,34.26079
2023,6,6,5,35.94456
2023,6,6,6,41.71242
2023,6,6,7,47.64887
2023,6,6,8,37.37053
2023,6,6,9,34.67337
2023,6,6,10,29.58078
2023,6,6,11,27.13215
2023,6,6,12,26.91875
2023,6,6,13,26.14654
2023,6,6,14,25.10847
2023,6,6,15,26.22801
2023,6,6,16,28.74085
2023,6,6,17,31.89019
2023,6,6,18,40.79373
2023,6,6,19,49.11883
2023,6,6,20,62.68366
2023,6,6,21,62.22648
2023,6,6,22,53.58755
2023,6,6,23,42.82287
2023,6,6,24,40.24174
2023,6,7,1,40.96039
2023,6,7,2,38.5814
2023,6,7,3,36.29592
2023,6,7,4,35.68761
2023,6,7,5,36.42438
2023,6,7,6,40.99111
2023,6,7,7,48.23739
2023,6,7,8,42.06975
2023,6,7,9,38.40713
2023,6,7,10,35.36608
2023,6,7,11,34.53806
2023,6,7,12,33.3778
2023,6,7,13,31.26136
2023,6,7,14,30.9128
2023,6,7,15,31.38393
2023,6,7,16,32.38817
2023,6,7,17,32.22112
2023,6,7,18,38.29215
2023,6,7,19,48.57194
2023,6,7,20,61.65726
2023,6,7,21,64.00081
2023,6,7,22,55.68919
2023,6,7,23,44.40303
2023,6,7,24,40.19134
2023,6,8,1,39.3256
2023,6,8,2,35.97685
2023,6,8,3,34.62656
2023,6,8,4,34.47709
2023,6,8,5,38.51641
2023,6,8,6,44.21402
2023,6,8,7,43.58916
2023,6,8,8,34.30458
2023,6,8,9,28.99863
2023,6,8,10,27.40799
2023,6,8,11,26.72535
2023,6,8,12,26.41018
2023,6,8,13,26.48004
2023,6,8,14,27.3333
2023,6,8,15,27.57131
2023,6,8,16,29.4276
2023,6,8,17,33.36219
2023,6,8,18,37.73391
2023,6,8,19,48.16458
2023,6,8,20,59.80231
2023,6,8,21,60.97937
2023,6,8,22,54.50942
2023,6,8,23,46.1332
2023,6,8,24,39.62056
2023,6,9,1,36.82436
2023,6,9,2,35.24004
2023,6,9,3,35.78366
2023,6,9,4,31.97959
2023,6,9,5,34.13442
2023,6,9,6,39.88935
2023,6,9,7,37.69602
2023,6,9,8,27.40773
2023,6,9,9,24.45653
2023,6,9,10,24.24717
2023,6,9,11,23.74053
2023,6,9,12,23.74398
2023,6,9,13,22.67756
2023,6,9,14,24.12823
2023,6,9,15,24.06163
2023,6,9,16,23.92116
2023,6,9,17,26.72644
2023,6,9,18,33.75874
2023,6,9,19,40.26655
2023,6,9,20,49.62695
2023,6,9,21,51.95662
2023,6,9,22,47.06382
2023,6,9,23,40.52527
2023,6,9,24,35.02796
2023,6,10,1,34.47525
2023,6,10,2,32.64174
2023,6,10,3,31.44984
2023,6,10,4,31.84048
2023,6,10,5,31.08053
2023,6,10,6,33.92255
2023,6,10,7,34.26566
2023,6,10,8,26.08786
2023,6,10,9,23.23126
2023,6,10,10,24.47545
2023,6,10,11,25.4946
2023,6,10,12,22.99557
2023,6,10,13,22.82235
2023,6,10,14,22.5379
2023,6,10,15,23.02434
2023,6,10,16,24.52186
2023,6,10,17,27.59903
2023,6,10,18,32.41877
2023,6,10,19,41.59876
2023,6,10,20,47.43735
2023,6,10,21,46.18986
2023,6,10,22,42.67503
2023,6,10,23,38.34197
2023,6,10,24,36.30794
2023,6,11,1,30.58252
2023,6,11,2,30.18412
2023,6,11,3,29.39283
2023,6,11,4,29.33467
2023,6,11,5,28.21947
2023,6,11,6,29.73712
2023,6,11,7,26.55448
2023,6,11,8,15.6961
2023,6,11,9,12.68
2023,6,11,10,12.66627
2023,6,11,11,12.55524
2023,6,11,12,12.95294
2023,6,11,13,13.0521
2023,6,11,14,13.01137
2023,6,11,15,12.51012
2023,6,11,16,13.12612
2023,6,11,17,14.89987
2023,6,11,18,24.30556
2023,6,11,19,34.95994
2023,6,11,20,42.05233
2023,6,11,21,44.41265
2023,6,11,22,40.07806
2023,6,11,23,36.46544
2023,6,11,24,32.81889
2023,6,12,1,30.04846
2023,6,12,2,30.36859
2023,6,12,3,28.79807
2023,6,12,4,28.49704
2023,6,12,5,31.66313
2023,6,12,6,37.92332
2023,6,12,7,41.39483
2023,6,12,8,30.87316
2023,6,12,9,29.60478
2023,6,12,10,24.9151
2023,6,12,11,24.63869
2023,6,12,12,24.70347
2023,6,12,13,24.44855
2023,6,12,14,23.97443
2023,6,12,15,24.58215
2023,6,12,16,22.53832
2023,6,12,17,24.59367
2023,6,12,18,28.07538
2023,6,12,19,40.26222
2023,6,12,20,52.03874
2023,6,12,21,52.91732
2023,6,12,22,47.71184
2023,6,12,23,39.30736
2023,6,12,24,33.10549
2023,6,13,1,32.10662
2023,6,13,2,30.16619
2023,6,13,3,30.27451
2023,6,13,4,30.166
2023,6,13,5,30.19659
2023,6,13,6,37.49873
2023,6,13,7,31.96847
2023,6,13,8,23.74464
2023,6,13,9,17.64037
2023,6,13,10,13.59599
2023,6,13,11,12.75458
2023,6,13,12,11.39058
2023,6,13,13,11.35784
2023,6,13,14,10.96202
2023,6,13,15,12.34266
2023,6,13,16,15.35666
2023,6,13,17,18.38187
2023,6,13,18,23.31496
2023,6,13,19,36.33211
2023,6,13,20,49.59424
2023,6,13,21,50.62245
2023,6,13,22,47.336
2023,6,13,23,39.99611
2023,6,13,24,35.46931
2023,6,14,1,28.78133
2023,6,14,2,28.16339
2023,6,14,3,27.93135
2023,6,14,4,27.92289
2023,6,14,5,29.2085
2023,6,14,6,34.37052
2023,6,14,7,29.40549
2023,6,14,8,17.62309
2023,6,14,9,14.352
2023,6,14,10,11.29009
2023,6,14,11,9.82808
2023,6,14,12,9.70698
2023,6,14,13,9.51022
2023,6,14,14,9.41443
2023,6,14,15,10.14828
2023,6,14,16,11.07391
2023,6,14,17,15.05537
2023,6,14,18,24.45223
2023,6,14,19,36.73711
2023,6,14,20,50.73242
2023,6,14,21,50.39067
2023,6,14,22,43.68561
2023,6,14,23,36.13463
2023,6,14,24,31.14295
2023,6,15,1,27.82444
2023,6,15,2,28.5238
2023,6,15,3,27.15386
2023,6,15,4,27.15645
2023,6,15,5,28.68703
2023,6,15,6,32.37747
2023,6,15,7,30.03644
2023,6,15,8,20.74082
2023,6,15,9,13.29363
2023,6,15,10,9.76736
2023,6,15,11,7.96787
2023,6,15,12,8.30848
2023,6,15,13,8.35751
2023,6,15,14,8.43361
2023,6,15,15,9.41666
2023,6,15,16,12.59609
2023,6,15,17,15.24128
2023,6,15,18,26.82515
2023,6,15,19,40.30035
2023,6,15,20,53.5041
2023,6,15,21,53.63317
2023,6,15,22,44.95926
2023,6,15,23,37.57155
2023,6,15,24,34.32212
2023,6,16,1,29.12239
2023,6,16,2,28.23391
2023,6,16,3,28.04527
2023,6,16,4,28.52697
2023,6,16,5,29.36265
2023,6,16,6,33.15535
2023,6,16,7,33.20103
2023,6,16,8,27.30924
2023,6,16,9,21.16975
2023,6,16,10,15.00556
2023,6,16,11,14.47
2023,6,16,12,13.14076
2023,6,16,13,14.52
2023,6,16,14,15.36116
2023,6,16,15,15.80611
2023,6,16,16,19.47989
2023,6,16,17,20.0
2023,6,16,18,29.27979
2023,6,16,19,39.01619
2023,6,16,20,55.90169
2023,6,16,21,55.53985
2023,6,16,22,44.4331
2023,6,16,23,37.70333
2023,6,16,24,34.65057
2023,6,17,1,30.74032
2023,6,17,2,29.66316
2023,6,17,3,30.0
2023,6,17,4,28.76518
2023,6,17,5,30.11711
2023,6,17,6,29.42311
2023,6,17,7,25.36932
2023,6,17,8,11.3
2023,6,17,9,4.55276
2023,6,17,10,4.26979
2023,6,17,11,4.20347
2023,6,17,12,4.25478
2023,6,17,13,3.30693
2023,6,17,14,2.75599
2023,6,17,15,4.26979
2023,6,17,16,7.84908
2023,6,17,17,10.31536
2023,6,17,18,20.74043
2023,6,17,19,36.99611
2023,6,17,20,50.67259
2023,6,17,21,56.57522
2023,6,17,22,48.71447
