Year,Month,Day,OPR_HR,RENEWABLE_TYPE,MW
2022,12,31,24,Solar,0.0
2022,12,31,24,Wind,3140.87
2023,1,1,1,Solar,0.0
2023,1,1,1,Wind,3451.6800000000003
2023,1,1,2,Solar,0.0
2023,1,1,2,Wind,3586.58
2023,1,1,3,Solar,0.0
2023,1,1,3,Wind,3430.74
2023,1,1,4,Solar,0.0
2023,1,1,4,Wind,3620.65
2023,1,1,5,Solar,0.0
2023,1,1,5,Wind,3705.3900000000003
2023,1,1,6,Solar,0.0
2023,1,1,6,Wind,3681.04
2023,1,1,7,Solar,18.57
2023,1,1,7,Wind,3527.1099999999997
2023,1,1,8,Solar,1316.13
2023,1,1,8,Wind,3522.8
2023,1,1,9,Solar,4708.959999999999
2023,1,1,9,Wind,3519.29
2023,1,1,10,Solar,6726.53
2023,1,1,10,Wind,3498.91
2023,1,1,11,Solar,7395.530000000001
2023,1,1,11,Wind,3515.97
2023,1,1,12,Solar,7550.179999999999
2023,1,1,12,Wind,3828.92
2023,1,1,13,Solar,7773.639999999999
2023,1,1,13,Wind,3971.51
2023,1,1,14,Solar,7865.4
2023,1,1,14,Wind,4104.87
2023,1,1,15,Solar,7332.37
2023,1,1,15,Wind,4034.62
2023,1,1,16,Solar,4628.45
2023,1,1,16,Wind,3893.9700000000003
2023,1,1,17,Solar,694.0799999999999
2023,1,1,17,Wind,3841.6099999999997
2023,1,1,18,Solar,1.17
2023,1,1,18,Wind,3764.04
2023,1,1,19,Solar,0.0
2023,1,1,19,Wind,3707.0099999999998
2023,1,1,20,Solar,0.0
2023,1,1,20,Wind,3554.04
2023,1,1,21,Solar,0.0
2023,1,1,21,Wind,3446.02
2023,1,1,22,Solar,0.0
2023,1,1,22,Wind,3212.4700000000003
2023,1,1,23,Solar,0.0
2023,1,1,23,Wind,3004.92
2023,1,1,24,Solar,0.0
2023,1,1,24,Wind,2781.49
2023,1,2,1,Solar,0.0
2023,1,2,1,Wind,2537.9900000000002
2023,1,2,2,Solar,0.0
2023,1,2,2,Wind,2298.9100000000003
2023,1,2,3,Solar,0.0
2023,1,2,3,Wind,2159.69
2023,1,2,4,Solar,0.0
2023,1,2,4,Wind,1991.67
2023,1,2,5,Solar,0.0
2023,1,2,5,Wind,1813.44
2023,1,2,6,Solar,0.0
2023,1,2,6,Wind,1687.04
2023,1,2,7,Solar,30.78
2023,1,2,7,Wind,1568.69
2023,1,2,8,Solar,1672.31
2023,1,2,8,Wind,1405.8600000000001
2023,1,2,9,Solar,5001.86
2023,1,2,9,Wind,1157.8899999999999
2023,1,2,10,Solar,6432.27
2023,1,2,10,Wind,1029.7
2023,1,2,11,Solar,6453.34
2023,1,2,11,Wind,1089.04
2023,1,2,12,Solar,5985.12
2023,1,2,12,Wind,1292.37
2023,1,2,13,Solar,6044.11
