INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2025-04-01T11:00:00-00:00,2025-04-01T12:00:00-00:00,1,2025-04-01,5,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1096.2,DAM,1
2025-04-02T01:00:00-00:00,2025-04-02T02:00:00-00:00,1,2025-04-01,19,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1287.34,DAM,1
2025-04-01T22:00:00-00:00,2025-04-01T23:00:00-00:00,1,2025-04-01,16,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1259.11,DAM,1
2025-04-01T17:00:00-00:00,2025-04-01T18:00:00-00:00,1,2025-04-01,11,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1372.14,DAM,1
2025-04-02T03:00:00-00:00,2025-04-02T04:00:00-00:00,1,2025-04-01,21,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1308.58,DAM,1
2025-04-01T18:00:00-00:00,2025-04-01T19:00:00-00:00,1,2025-04-01,12,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1348.49,DAM,1
2025-04-01T15:00:00-00:00,2025-04-01T16:00:00-00:00,1,2025-04-01,9,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1422.82,DAM,1
2025-04-01T14:00:00-00:00,2025-04-01T15:00:00-00:00,1,2025-04-01,8,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1423.04,DAM,1
2025-04-01T13:00:00-00:00,2025-04-01T14:00:00-00:00,1,2025-04-01,7,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1350.48,DAM,1
2025-04-01T10:00:00-00:00,2025-04-01T11:00:00-00:00,1,2025-04-01,4,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1048.01,DAM,1
2025-04-01T12:00:00-00:00,2025-04-01T13:00:00-00:00,1,2025-04-01,6,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1211.31,DAM,1
2025-04-01T07:00:00-00:00,2025-04-01T08:00:00-00:00,1,2025-04-01,1,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1058.87,DAM,1
2025-04-02T02:00:00-00:00,2025-04-02T03:00:00-00:00,1,2025-04-01,20,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1316.07,DAM,1
2025-04-01T19:00:00-00:00,2025-04-01T20:00:00-00:00,1,2025-04-01,13,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1328.93,DAM,1
2025-04-01T16:00:00-00:00,2025-04-01T17:00:00-00:00,1,2025-04-01,10,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1399.98,DAM,1
2025-04-01T09:00:00-00:00,2025-04-01T10:00:00-00:00,1,2025-04-01,3,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1036.3,DAM,1
2025-04-01T08:00:00-00:00,2025-04-01T09:00:00-00:00,1,2025-04-01,2,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1041.9,DAM,1
2025-04-02T05:00:00-00:00,2025-04-02T06:00:00-00:00,1,2025-04-01,23,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1153.8,DAM,1
2025-04-02T04:00:00-00:00,2025-04-02T05:00:00-00:00,1,2025-04-01,22,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1241.23,DAM,1
2025-04-01T21:00:00-00:00,2025-04-01T22:00:00-00:00,1,2025-04-01,15,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1278.91,DAM,1
2025-04-01T20:00:00-00:00,2025-04-01T21:00:00-00:00,1,2025-04-01,14,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1304.73,DAM,1
2025-04-02T06:00:00-00:00,2025-04-02T07:00:00-00:00,1,2025-04-01,24,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1081.97,DAM,1
2025-04-01T23:00:00-00:00,2025-04-02T00:00:00-00:00,1,2025-04-01,17,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1262.51,DAM,1
2025-04-02T00:00:00-00:00,2025-04-02T01:00:00-00:00,1,2025-04-01,18,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1276.47,DAM,1
2025-04-02T01:00:00-00:00,2025-04-02T02:00:00-00:00,1,2025-04-01,19,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2025-04-01T23:00:00-00:00,2025-04-02T00:00:00-00:00,1,2025-04-01,17,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2025-04-01T20:00:00-00:00,2025-04-01T21:00:00-00:00,1,2025-04-01,14,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2025-04-01T18:00:00-00:00,2025-04-01T19:00:00-00:00,1,2025-04-01,12,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2025-04-01T12:00:00-00:00,2025-04-01T13:00:00-00:00,1,2025-04-01,6,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2025-04-01T10:00:00-00:00,2025-04-01T11:00:00-00:00,1,2025-04-01,4,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2025-04-02T03:00:00-00:00,2025-04-02T04:00:00-00:00,1,2025-04-01,21,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2025-04-02T02:00:00-00:00,2025-04-02T03:00:00-00:00,1,2025-04-01,20,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2025-04-01T11:00:00-00:00,2025-04-01T12:00:00-00:00,1,2025-04-01,5,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
