OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2025-04-01,11,0,2025-04-01T17:00:00-00:00,2025-04-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1673.05,DAM,1
2025-04-01,24,0,2025-04-02T06:00:00-00:00,2025-04-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2025-04-01,10,0,2025-04-01T16:00:00-00:00,2025-04-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1634.05,DAM,1
2025-04-01,15,0,2025-04-01T21:00:00-00:00,2025-04-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1522.35,DAM,1
2025-04-01,9,0,2025-04-01T15:00:00-00:00,2025-04-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1418.44,DAM,1
2025-04-01,20,0,2025-04-02T02:00:00-00:00,2025-04-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,11.05,DAM,1
2025-04-01,8,0,2025-04-01T14:00:00-00:00,2025-04-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,361,DAM,1
2025-04-01,12,0,2025-04-01T18:00:00-00:00,2025-04-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1480.84,DAM,1
2025-04-01,7,0,2025-04-01T13:00:00-00:00,2025-04-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1.74,DAM,1
2025-04-01,19,0,2025-04-02T01:00:00-00:00,2025-04-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,388.36,DAM,1
2025-04-01,6,0,2025-04-01T12:00:00-00:00,2025-04-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2025-04-01,14,0,2025-04-01T20:00:00-00:00,2025-04-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1483.99,DAM,1
2025-04-01,5,0,2025-04-01T11:00:00-00:00,2025-04-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2025-04-01,18,0,2025-04-02T00:00:00-00:00,2025-04-02T01:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1263.56,DAM,1
2025-04-01,4,0,2025-04-01T10:00:00-00:00,2025-04-01T11:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2025-04-01,23,0,2025-04-02T05:00:00-00:00,2025-04-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2025-04-01,3,0,2025-04-01T09:00:00-00:00,2025-04-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2025-04-01,17,0,2025-04-01T23:00:00-00:00,2025-04-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1520.88,DAM,1
2025-04-01,2,0,2025-04-01T08:00:00-00:00,2025-04-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2025-04-01,13,0,2025-04-01T19:00:00-00:00,2025-04-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1499.48,DAM,1
2025-04-01,1,0,2025-04-01T07:00:00-00:00,2025-04-01T08:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2025-04-01,16,0,2025-04-01T22:00:00-00:00,2025-04-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1605.05,DAM,1
2025-04-01,22,0,2025-04-02T04:00:00-00:00,2025-04-02T05:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2025-04-01,21,0,2025-04-02T03:00:00-00:00,2025-04-02T04:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2025-04-01,10,0,2025-04-01T16:00:00-00:00,2025-04-01T17:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,503.82,DAM,2
2025-04-01,9,0,2025-04-01T15:00:00-00:00,2025-04-01T16:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,424.76,DAM,2
2025-04-01,8,0,2025-04-01T14:00:00-00:00,2025-04-01T15:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,385.35,DAM,2
2025-04-01,7,0,2025-04-01T13:00:00-00:00,2025-04-01T14:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,385.82,DAM,2
2025-04-01,6,0,2025-04-01T12:00:00-00:00,2025-04-01T13:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,387.07,DAM,2
2025-04-01,5,0,2025-04-01T11:00:00-00:00,2025-04-01T12:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,377.9,DAM,2
2025-04-01,4,0,2025-04-01T10:00:00-00:00,2025-04-01T11:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,334.63,DAM,2
2025-04-01,3,0,2025-04-01T09:00:00-00:00,2025-04-01T10:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,289.1,DAM,2
2025-04-01,2,0,2025-04-01T08:00:00-00:00,2025-04-01T09:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,272.72,DAM,2
2025-04-01,1,0,2025-04-01T07:00:00-00:00,2025-04-01T08:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,284.39,DAM,2
2025-04-01,22,0,2025-04-02T04:00:00-00:00,2025-04-02T05:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,665.66,DAM,2
2025-04-01,21,0,2025-04-02T03:00:00-00:00,2025-04-02T04:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,746.15,DAM,2
2025-04-01,20,0,2025-04-02T02:00:00-00:00,2025-04-02T03:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,831.19,DAM,2
2025-04-01,19,0,2025-04-02T01:00:00-00:00,2025-04-02T02:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,914.48,DAM,2
2025-04-01,18,0,2025-04-02T00:00:00-00:00,2025-04-02T01:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,974.9,DAM,2
2025-04-01,17,0,2025-04-01T23:00:00-00:00,2025-04-02T00:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1009.05,DAM,2
2025-04-01,16,0,2025-04-01T22:00:00-00:00,2025-04-01T23:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1016.85,DAM,2
2025-04-01,15,0,2025-04-01T21:00:00-00:00,2025-04-01T22:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1010.07,DAM,2
2025-04-01,14,0,2025-04-01T20:00:00-00:00,2025-04-01T21:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,973.77,DAM,2
2025-04-01,13,0,2025-04-01T19:00:00-00:00,2025-04-01T20:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,872.28,DAM,2
2025-04-01,12,0,2025-04-01T18:00:00-00:00,2025-04-01T19:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,731.05,DAM,2
2025-04-01,24,0,2025-04-02T06:00:00-00:00,2025-04-02T07:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,490.25,DAM,2
2025-04-01,11,0,2025-04-01T17:00:00-00:00,2025-04-01T18:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,600.09,DAM,2
2025-04-01,23,0,2025-04-02T05:00:00-00:00,2025-04-02T06:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,585.17,DAM,2
2025-04-01,22,0,2025-04-02T04:00:00-00:00,2025-04-02T05:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
2025-04-01,23,0,2025-04-02T05:00:00-00:00,2025-04-02T06:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
