Year,Month,Day,Hour,LMP
2024,4,1,1,44.05699333333333
2024,4,1,2,37.68573666666666
2024,4,1,3,34.55842666666667
2024,4,1,4,33.61666
2024,4,1,5,34.91976666666667
2024,4,1,6,47.92485666666666
2024,4,1,7,54.12069666666667
2024,4,1,8,44.605623333333334
2024,4,1,9,22.979853333333335
2024,4,1,10,1.0815000000000001
2024,4,1,11,-11.18038
2024,4,1,12,-17.81182
2024,4,1,13,-22.875136666666666
2024,4,1,14,-22.30802
2024,4,1,15,-21.835236666666663
2024,4,1,16,-21.127593333333333
2024,4,1,17,-17.01608333333333
2024,4,1,18,6.881756666666667
2024,4,1,19,38.02691333333333
2024,4,1,20,44.567006666666664
2024,4,1,21,42.383109999999995
2024,4,1,22,41.41766333333334
2024,4,1,23,40.030049999999996
2024,4,1,24,39.381609999999995
2024,4,2,1,34.10483
2024,4,2,2,31.906096666666667
2024,4,2,3,34.02696666666667
2024,4,2,4,37.43253333333333
2024,4,2,5,41.42228
2024,4,2,6,44.243743333333335
2024,4,2,7,54.28849
2024,4,2,8,39.54776666666667
2024,4,2,9,10.691856666666666
2024,4,2,10,-19.449916666666667
2024,4,2,11,-26.01363333333333
2024,4,2,12,-28.197233333333333
2024,4,2,13,-31.02457
2024,4,2,14,-31.352446666666665
2024,4,2,15,-30.550493333333332
2024,4,2,16,-29.66481
2024,4,2,17,-24.342753333333334
2024,4,2,18,12.001693333333334
2024,4,2,19,40.05852333333333
2024,4,2,20,48.47483
2024,4,2,21,43.600586666666665
2024,4,2,22,40.100923333333334
2024,4,2,23,39.209383333333335
2024,4,2,24,36.80961
2024,4,3,1,31.977926666666665
2024,4,3,2,33.38352666666667
2024,4,3,3,31.648800000000005
2024,4,3,4,34.10751333333334
2024,4,3,5,34.822250000000004
2024,4,3,6,35.624410000000005
2024,4,3,7,46.135670000000005
2024,4,3,8,33.39846
2024,4,3,9,-0.2868499999999988
2024,4,3,10,-19.404653333333332
2024,4,3,11,-23.739573333333336
2024,4,3,12,-24.335543333333334
2024,4,3,13,-25.726296666666666
2024,4,3,14,-26.223666666666663
2024,4,3,15,-27.705376666666666
2024,4,3,16,-27.736296666666664
2024,4,3,17,-24.170526666666664
2024,4,3,18,1.0958700000000003
2024,4,3,19,41.00779666666667
2024,4,3,20,52.29738666666666
2024,4,3,21,49.44586
2024,4,3,22,47.89568
2024,4,3,23,41.136419999999994
2024,4,3,24,39.83974333333333
2024,4,4,1,42.651426666666666
2024,4,4,2,39.06295
2024,4,4,3,36.67098333333333
2024,4,4,4,36.64528666666667
2024,4,4,5,34.91575
2024,4,4,6,44.52203
2024,4,4,7,46.80133
2024,4,4,8,40.48439666666666
2024,4,4,9,18.772156666666667
2024,4,4,10,8.30289
2024,4,4,11,0.2606566666666647
2024,4,4,12,-2.5772666666666653
2024,4,4,13,-5.459846666666665
2024,4,4,14,-4.844696666666668
2024,4,4,15,-6.547679999999999
2024,4,4,16,-4.560039999999998
2024,4,4,17,-0.685179999999999
2024,4,4,18,18.364006666666665
2024,4,4,19,42.38086333333333
2024,4,4,20,46.122976666666666
2024,4,4,21,46.76274333333333
2024,4,4,22,45.23619
2024,4,4,23,42.27540666666667
2024,4,4,24,41.06041
2024,4,5,1,35.671596666666666
2024,4,5,2,32.66491333333333
2024,4,5,3,31.464856666666666
2024,4,5,4,31.355346666666666
2024,4,5,5,36.13122
2024,4,5,6,41.40366
2024,4,5,7,48.571709999999996
2024,4,5,8,43.36145666666667
2024,4,5,9,13.614536666666668
2024,4,5,10,0.9480700000000013
2024,4,5,11,-6.020783333333334
2024,4,5,12,-9.382056666666667
2024,4,5,13,-11.087126666666668
2024,4,5,14,-13.792279999999998
2024,4,5,15,-9.648483333333333
2024,4,5,16,-10.464643333333333
2024,4,5,17,-3.1147799999999997
2024,4,5,18,14.29728
2024,4,5,19,37.51274333333333
2024,4,5,20,40.972303333333336
2024,4,5,21,40.19310333333333
2024,4,5,22,41.19244
2024,4,5,23,37.208783333333336
2024,4,5,24,35.262679999999996
2024,4,6,1,30.53899
2024,4,6,2,28.567333333333334
2024,4,6,3,28.50184333333333
2024,4,6,4,27.964456666666667
2024,4,6,5,28.01376666666667
2024,4,6,6,32.67583
2024,4,6,7,36.08793666666667
2024,4,6,8,17.743873333333333
2024,4,6,9,-19.765586666666668
2024,4,6,10,-27.76599333333333
2024,4,6,11,-32.359183333333334
2024,4,6,12,-34.48726333333334
2024,4,6,13,-34.61084666666667
2024,4,6,14,-35.14297
2024,4,6,15,-34.70699
2024,4,6,16,-33.90756
2024,4,6,17,-34.13532
2024,4,6,18,-18.365323333333333
2024,4,6,19,30.298286666666666
2024,4,6,20,38.84726
2024,4,6,21,39.22913333333333
2024,4,6,22,38.872899999999994
2024,4,6,23,37.13426666666666
2024,4,6,24,36.95843666666667
2024,4,7,1,45.628449999999994
2024,4,7,2,45.002293333333334
2024,4,7,3,41.74354666666667
2024,4,7,4,41.70684666666667
2024,4,7,5,42.44384
2024,4,7,6,44.44057333333333
2024,4,7,7,44.5126
2024,4,7,8,20.468886666666666
2024,4,7,9,-16.661166666666666
2024,4,7,10,-30.556803333333335
2024,4,7,11,-34.34186666666667
2024,4,7,12,-36.44061333333333
2024,4,7,13,-37.08348666666667
2024,4,7,14,-38.62880666666666
2024,4,7,15,-37.487410000000004
2024,4,7,16,-37.680440000000004
2024,4,7,17,-34.30141333333333
2024,4,7,18,-10.099713333333334
2024,4,7,19,34.455283333333334
2024,4,7,20,39.247656666666664
2024,4,7,21,39.664453333333334
2024,4,7,22,38.45576666666667
2024,4,7,23,37.803716666666666
2024,4,7,24,37.43351666666667
2024,4,8,1,33.617979999999996
2024,4,8,2,32.770050000000005
2024,4,8,3,32.88079
2024,4,8,4,32.97029
2024,4,8,5,35.65636666666666
2024,4,8,6,39.25845666666667
2024,4,8,7,56.25070333333334
2024,4,8,8,33.43207
2024,4,8,9,9.437733333333334
2024,4,8,10,0.5961700000000002
2024,4,8,11,5.091396666666667
2024,4,8,12,7.335853333333334
2024,4,8,13,-12.630870000000002
2024,4,8,14,-14.94958
2024,4,8,15,-15.576086666666667
2024,4,8,16,-14.597773333333334
2024,4,8,17,-11.954193333333334
2024,4,8,18,2.1060099999999995
2024,4,8,19,37.989560000000004
2024,4,8,20,52.71419666666666
2024,4,8,21,50.31064
2024,4,8,22,42.082429999999995
2024,4,8,23,39.124136666666665
2024,4,8,24,37.83639
2024,4,9,1,33.889093333333335
2024,4,9,2,33.36045333333333
2024,4,9,3,32.72018
2024,4,9,4,32.86831333333333
2024,4,9,5,37.83005333333333
2024,4,9,6,48.59091333333333
2024,4,9,7,52.92803333333333
2024,4,9,8,35.40978666666667
2024,4,9,9,-5.0999300000000005
2024,4,9,10,-18.27721
2024,4,9,11,-23.892486666666667
2024,4,9,12,-26.076976666666667
2024,4,9,13,-27.495416666666667
2024,4,9,14,-27.920963333333333
2024,4,9,15,-27.735586666666666
2024,4,9,16,-25.873036666666668
2024,4,9,17,-16.793636666666668
2024,4,9,18,2.9967299999999994
2024,4,9,19,43.21080666666666
2024,4,9,20,52.510776666666665
2024,4,9,21,50.90435666666667
2024,4,9,22,45.4401
2024,4,9,23,41.70211666666666
2024,4,9,24,40.50564333333333
2024,4,10,1,42.81853666666667
2024,4,10,2,40.08551666666667
2024,4,10,3,39.02661666666666
2024,4,10,4,39.2979
2024,4,10,5,39.806099999999994
2024,4,10,6,43.74630333333334
2024,4,10,7,50.95124333333333
2024,4,10,8,30.012513333333334
2024,4,10,9,-2.2298233333333335
2024,4,10,10,-13.960643333333332
2024,4,10,11,-16.192146666666662
2024,4,10,12,-18.34249666666667
2024,4,10,13,-18.725323333333336
2024,4,10,14,-17.66644666666667
2024,4,10,15,-16.945236666666666
2024,4,10,16,-14.741046666666668
2024,4,10,17,-4.24069
2024,4,10,18,12.461913333333333
2024,4,10,19,49.92073666666667
2024,4,10,20,60.67723
2024,4,10,21,53.65445
2024,4,10,22,48.714310000000005
2024,4,10,23,44.396193333333336
2024,4,10,24,39.73077
2024,4,11,1,39.44341
2024,4,11,2,35.19932666666667
2024,4,11,3,34.83081
2024,4,11,4,35.971560000000004
