Year,Month,Day,Hour,$/MWh
2022,9,1,1,149.88402
2022,9,1,2,133.98486
2022,9,1,3,128.04753
2022,9,1,4,125.77984
2022,9,1,5,126.37681
2022,9,1,6,127.05658
2022,9,1,7,154.02905
2022,9,1,8,131.5806
2022,9,1,9,107.16159
2022,9,1,10,109.38428
2022,9,1,11,118.55528
2022,9,1,12,143.97519
2022,9,1,13,155.84163
2022,9,1,14,180.25319
2022,9,1,15,201.43478
2022,9,1,16,252.21043
2022,9,1,17,288.6804
2022,9,1,18,390.2164
2022,9,1,19,833.50464
2022,9,1,20,835.9394
2022,9,1,21,439.7326
2022,9,1,22,213.51553
2022,9,1,23,172.99329
2022,9,1,24,150.45602
2022,9,2,1,134.34103
2022,9,2,2,130.01047
2022,9,2,3,120.25091
2022,9,2,4,113.79857
2022,9,2,5,114.39371
2022,9,2,6,120.94433
2022,9,2,7,141.97054
2022,9,2,8,119.88012
2022,9,2,9,100.03229
2022,9,2,10,101.63656
2022,9,2,11,110.29723
2022,9,2,12,133.29068
2022,9,2,13,143.3361
2022,9,2,14,167.9586
2022,9,2,15,185.30978
2022,9,2,16,202.106
2022,9,2,17,220.59244
2022,9,2,18,284.1022
2022,9,2,19,513.1855
2022,9,2,20,496.62723
2022,9,2,21,270.61014
2022,9,2,22,197.90305
2022,9,2,23,163.15657
2022,9,2,24,147.42792
2022,9,3,1,113.0824
2022,9,3,2,107.35209
2022,9,3,3,102.79546
2022,9,3,4,101.18385
2022,9,3,5,97.87416
2022,9,3,6,102.12033
2022,9,3,7,101.64903
2022,9,3,8,82.23684
2022,9,3,9,67.21296
2022,9,3,10,70.86164
2022,9,3,11,79.37767
2022,9,3,12,88.97791
2022,9,3,13,105.26055
2022,9,3,14,125.52394
2022,9,3,15,137.22115
2022,9,3,16,151.77805
2022,9,3,17,170.05917
2022,9,3,18,232.50174
2022,9,3,19,441.62552
2022,9,3,20,453.79553
2022,9,3,21,231.70467
2022,9,3,22,182.35307
2022,9,3,23,153.82986
2022,9,3,24,138.10622
2022,9,4,1,124.63695
2022,9,4,2,118.41827
2022,9,4,3,110.72789
2022,9,4,4,106.42827
2022,9,4,5,103.64675
2022,9,4,6,103.36152
2022,9,4,7,96.67206
2022,9,4,8,87.04106
2022,9,4,9,63.96171
2022,9,4,10,66.60324
2022,9,4,11,82.50807
2022,9,4,12,96.19274
2022,9,4,13,108.76882
2022,9,4,14,129.26003
2022,9,4,15,136.63
2022,9,4,16,148.65515
2022,9,4,17,157.08669
2022,9,4,18,202.0523
2022,9,4,19,408.4354
2022,9,4,20,454.36578
2022,9,4,21,240.09491
2022,9,4,22,170.67351
2022,9,4,23,150.6291
2022,9,4,24,140.07098
2022,9,5,1,128.89857
2022,9,5,2,109.43456
2022,9,5,3,108.65681
2022,9,5,4,108.43432
2022,9,5,5,105.63036
2022,9,5,6,105.65997
2022,9,5,7,100.5201
2022,9,5,8,95.44037
2022,9,5,9,74.89127
2022,9,5,10,78.32095
2022,9,5,11,95.82357
2022,9,5,12,109.4926
2022,9,5,13,133.01054
2022,9,5,14,143.93645
2022,9,5,15,151.01276
2022,9,5,16,185.5097
2022,9,5,17,233.5606
2022,9,5,18,385.6782
2022,9,5,19,868.578
