Year,Month,Day,Hour,$/MWh
2023,12,9,6,48.6218
2023,12,9,7,57.37936
2023,12,9,8,45.75617
2023,12,9,9,39.93628
2023,12,9,10,20.07579
2023,12,9,11,19.55722
2023,12,9,12,18.18684
2023,12,9,13,18.31427
2023,12,9,14,18.7637
2023,12,9,15,19.80985
2023,12,9,16,40.79074
2023,12,9,17,60.75355
2023,12,9,18,61.77538
2023,12,9,19,59.68327
2023,12,9,20,59.08866
2023,12,9,21,59.39083
2023,12,9,22,59.47102
2023,12,9,23,58.55679
2023,12,9,24,56.67441
2023,12,10,1,47.80876
2023,12,10,2,46.95606
2023,12,10,3,47.03167
2023,12,10,4,45.94462
2023,12,10,5,47.10417
2023,12,10,6,48.48485
2023,12,10,7,50.58784
2023,12,10,8,46.61382
2023,12,10,9,33.69987
2023,12,10,10,23.59056
2023,12,10,11,22.20913
2023,12,10,12,21.26425
2023,12,10,13,20.87922
2023,12,10,14,21.22505
2023,12,10,15,24.0527
2023,12,10,16,50.10759
2023,12,10,17,62.20427
2023,12,10,18,64.41277
2023,12,10,19,62.56561
2023,12,10,20,62.68383
2023,12,10,21,61.87029
2023,12,10,22,61.76261
2023,12,10,23,59.91331
2023,12,10,24,55.38826
2023,12,11,1,56.94767
2023,12,11,2,54.4328
2023,12,11,3,54.1194
2023,12,11,4,53.85603
2023,12,11,5,59.47154
2023,12,11,6,67.28545
2023,12,11,7,74.45251
2023,12,11,8,72.20898
2023,12,11,9,57.957
2023,12,11,10,48.62424
2023,12,11,11,47.55261
2023,12,11,12,45.83756
2023,12,11,13,44.86859
2023,12,11,14,46.61646
2023,12,11,15,47.64669
2023,12,11,16,66.86199
2023,12,11,17,75.47041
2023,12,11,18,77.3089
2023,12,11,19,75.45352
2023,12,11,20,74.79994
2023,12,11,21,73.94204
2023,12,11,22,73.30402
2023,12,11,23,68.28203
2023,12,11,24,62.09355
2023,12,12,1,54.01765
2023,12,12,2,53.75254
2023,12,12,3,53.51287
2023,12,12,4,53.57855
2023,12,12,5,56.56842
2023,12,12,6,69.7548
2023,12,12,7,73.99264
2023,12,12,8,70.48654
2023,12,12,9,54.29472
2023,12,12,10,41.39868
2023,12,12,11,39.88212
2023,12,12,12,38.36528
2023,12,12,13,37.72357
2023,12,12,14,37.51071
2023,12,12,15,39.85137
2023,12,12,16,55.14463
2023,12,12,17,71.86597
2023,12,12,18,73.52924
2023,12,12,19,71.99686
2023,12,12,20,71.59089
2023,12,12,21,70.76878
2023,12,12,22,69.14545
2023,12,12,23,67.39856
2023,12,12,24,64.9337
2023,12,13,1,59.74172
2023,12,13,2,57.73478
2023,12,13,3,57.31872
2023,12,13,4,57.56069
2023,12,13,5,59.27609
2023,12,13,6,70.8663
2023,12,13,7,76.77338
2023,12,13,8,73.26229
2023,12,13,9,53.16269
2023,12,13,10,38.88924
2023,12,13,11,38.21526
2023,12,13,12,37.04877
2023,12,13,13,35.63945
