INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-11-01T20:00:00-00:00,2022-11-01T21:00:00-00:00,2022-11-01,14,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,61.11,1
2022-11-01T19:00:00-00:00,2022-11-01T20:00:00-00:00,2022-11-01,13,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,61.44762,1
2022-11-01T08:00:00-00:00,2022-11-01T09:00:00-00:00,2022-11-01,2,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,69.05957,1
2022-11-01T11:00:00-00:00,2022-11-01T12:00:00-00:00,2022-11-01,5,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,68.43977,1
2022-11-02T04:00:00-00:00,2022-11-02T05:00:00-00:00,2022-11-01,22,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,78.72326,1
2022-11-01T21:00:00-00:00,2022-11-01T22:00:00-00:00,2022-11-01,15,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,59,1
2022-11-01T14:00:00-00:00,2022-11-01T15:00:00-00:00,2022-11-01,8,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,91.72317,1
2022-11-02T03:00:00-00:00,2022-11-02T04:00:00-00:00,2022-11-01,21,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,81.14319,1
2022-11-01T16:00:00-00:00,2022-11-01T17:00:00-00:00,2022-11-01,10,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,63.44065,1
2022-11-01T18:00:00-00:00,2022-11-01T19:00:00-00:00,2022-11-01,12,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,63.11,1
2022-11-01T13:00:00-00:00,2022-11-01T14:00:00-00:00,2022-11-01,7,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,84.35699,1
2022-11-01T23:00:00-00:00,2022-11-02T00:00:00-00:00,2022-11-01,17,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,66.70463,1
2022-11-02T02:00:00-00:00,2022-11-02T03:00:00-00:00,2022-11-01,20,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,81.89308,1
2022-11-02T01:00:00-00:00,2022-11-02T02:00:00-00:00,2022-11-01,19,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,84.99508,1
2022-11-01T07:00:00-00:00,2022-11-01T08:00:00-00:00,2022-11-01,1,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,69.47203,1
2022-11-01T12:00:00-00:00,2022-11-01T13:00:00-00:00,2022-11-01,6,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,76.67167,1
2022-11-02T05:00:00-00:00,2022-11-02T06:00:00-00:00,2022-11-01,23,0,TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH_NP15_GEN-APND,DAM,LMP,LMP_PRC,TH_NP15_GEN-APND,ALL_APNODES,0,70.53783,1
