INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-07-01T15:00:00-00:00,2024-07-01T16:00:00-00:00,1,2024-07-01,9,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1133.72,DAM,1
2024-07-02T02:00:00-00:00,2024-07-02T03:00:00-00:00,1,2024-07-01,20,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1357.12,DAM,1
2024-07-01T20:00:00-00:00,2024-07-01T21:00:00-00:00,1,2024-07-01,14,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1323.19,DAM,1
2024-07-02T04:00:00-00:00,2024-07-02T05:00:00-00:00,1,2024-07-01,22,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1215.74,DAM,1
2024-07-01T07:00:00-00:00,2024-07-01T08:00:00-00:00,1,2024-07-01,1,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,886.03,DAM,1
2024-07-01T08:00:00-00:00,2024-07-01T09:00:00-00:00,1,2024-07-01,2,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,838.05,DAM,1
2024-07-01T18:00:00-00:00,2024-07-01T19:00:00-00:00,1,2024-07-01,12,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1257.66,DAM,1
2024-07-02T06:00:00-00:00,2024-07-02T07:00:00-00:00,1,2024-07-01,24,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,986.29,DAM,1
2024-07-01T09:00:00-00:00,2024-07-01T10:00:00-00:00,1,2024-07-01,3,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,809.57,DAM,1
2024-07-01T21:00:00-00:00,2024-07-01T22:00:00-00:00,1,2024-07-01,15,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1343.34,DAM,1
2024-07-02T01:00:00-00:00,2024-07-02T02:00:00-00:00,1,2024-07-01,19,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1401.91,DAM,1
2024-07-02T03:00:00-00:00,2024-07-02T04:00:00-00:00,1,2024-07-01,21,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1284.32,DAM,1
2024-07-01T11:00:00-00:00,2024-07-01T12:00:00-00:00,1,2024-07-01,5,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,826.25,DAM,1
2024-07-01T13:00:00-00:00,2024-07-01T14:00:00-00:00,1,2024-07-01,7,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,988.75,DAM,1
2024-07-01T17:00:00-00:00,2024-07-01T18:00:00-00:00,1,2024-07-01,11,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1216.4,DAM,1
2024-07-01T19:00:00-00:00,2024-07-01T20:00:00-00:00,1,2024-07-01,13,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1294.57,DAM,1
2024-07-01T22:00:00-00:00,2024-07-01T23:00:00-00:00,1,2024-07-01,16,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1359.75,DAM,1
