Year,Month,Day,OPR_HR,RENEWABLE_TYPE,MW
2024,12,31,24,Solar,0.0
2024,12,31,24,Wind,466.65999999999997
2025,1,1,1,Solar,0.0
2025,1,1,1,Wind,352.62
2025,1,1,2,Solar,0.0
2025,1,1,2,Wind,422.01000000000005
2025,1,1,3,Solar,0.0
2025,1,1,3,Wind,453.57
2025,1,1,4,Solar,0.0
2025,1,1,4,Wind,469.15000000000003
2025,1,1,5,Solar,0.0
2025,1,1,5,Wind,477.09999999999997
2025,1,1,6,Solar,0.0
2025,1,1,6,Wind,499.7
2025,1,1,7,Solar,46.94
2025,1,1,7,Wind,550.87
2025,1,1,8,Solar,2351.1
2025,1,1,8,Wind,532.36
2025,1,1,9,Solar,7893.03
2025,1,1,9,Wind,476.99
2025,1,1,10,Solar,10397.49
2025,1,1,10,Wind,379.49999999999994
2025,1,1,11,Solar,10816.94
2025,1,1,11,Wind,278.08
2025,1,1,12,Solar,10874.859999999999
2025,1,1,12,Wind,257.26
2025,1,1,13,Solar,11132.43
2025,1,1,13,Wind,277.14
2025,1,1,14,Solar,11197.279999999999
2025,1,1,14,Wind,309.39
2025,1,1,15,Solar,10632.12
2025,1,1,15,Wind,365.48
2025,1,1,16,Solar,6620.91
2025,1,1,16,Wind,438.4
2025,1,1,17,Solar,748.35
2025,1,1,17,Wind,473.12
2025,1,1,18,Solar,0.0
2025,1,1,18,Wind,468.84000000000003
2025,1,1,19,Solar,0.0
2025,1,1,19,Wind,444.03000000000003
2025,1,1,20,Solar,0.0
2025,1,1,20,Wind,385.6
2025,1,1,21,Solar,0.0
2025,1,1,21,Wind,352.52
2025,1,1,22,Solar,0.0
2025,1,1,22,Wind,316.77
2025,1,1,23,Solar,0.0
2025,1,1,23,Wind,269.54
2025,1,1,24,Solar,0.0
2025,1,1,24,Wind,237.01999999999998
2025,1,2,1,Solar,0.0
2025,1,2,1,Wind,217.33
2025,1,2,2,Solar,0.0
2025,1,2,2,Wind,196.45
2025,1,2,3,Solar,0.0
2025,1,2,3,Wind,186.04000000000002
2025,1,2,4,Solar,0.0
2025,1,2,4,Wind,167.87
2025,1,2,5,Solar,0.0
2025,1,2,5,Wind,152.06
2025,1,2,6,Solar,0.0
2025,1,2,6,Wind,142.57
2025,1,2,7,Solar,48.809999999999995
2025,1,2,7,Wind,134.4
2025,1,2,8,Solar,2416.5699999999997
2025,1,2,8,Wind,138.74
2025,1,2,9,Solar,8018.360000000001
2025,1,2,9,Wind,151.60999999999999
2025,1,2,10,Solar,10635.54
2025,1,2,10,Wind,159.6
2025,1,2,11,Solar,11218.51
2025,1,2,11,Wind,162.64999999999998
2025,1,2,12,Solar,11299.06
2025,1,2,12,Wind,166.1
2025,1,2,13,Solar,11572.24
2025,1,2,13,Wind,167.05
2025,1,2,14,Solar,11847.03
2025,1,2,14,Wind,157.54999999999998
2025,1,2,15,Solar,11205.560000000001
2025,1,2,15,Wind,138.11
2025,1,2,16,Solar,6999.360000000001
2025,1,2,16,Wind,121.66
2025,1,2,17,Solar,797.36
2025,1,2,17,Wind,113.11999999999999
2025,1,2,18,Solar,0.0
2025,1,2,18,Wind,115.22
2025,1,2,19,Solar,0.0
2025,1,2,19,Wind,123.41999999999999
2025,1,2,20,Solar,0.0
2025,1,2,20,Wind,130.31
2025,1,2,21,Solar,0.0
2025,1,2,21,Wind,135.31
2025,1,2,22,Solar,0.0
2025,1,2,22,Wind,138.98
2025,1,2,23,Solar,0.0
2025,1,2,23,Wind,137.77
2025,1,2,24,Solar,0.0
2025,1,2,24,Wind,138.39000000000001
2025,1,3,1,Solar,0.0
2025,1,3,1,Wind,158.18
2025,1,3,2,Solar,0.0
2025,1,3,2,Wind,175.03
2025,1,3,3,Solar,0.0
2025,1,3,3,Wind,189.16
2025,1,3,4,Solar,0.0
2025,1,3,4,Wind,208.72
2025,1,3,5,Solar,0.0
2025,1,3,5,Wind,252.57
2025,1,3,6,Solar,0.0
2025,1,3,6,Wind,305.78
2025,1,3,7,Solar,29.99
2025,1,3,7,Wind,351.87
2025,1,3,8,Solar,1339.8100000000002
2025,1,3,8,Wind,375.17
2025,1,3,9,Solar,4507.53
2025,1,3,9,Wind,377.92
2025,1,3,10,Solar,6293.47
2025,1,3,10,Wind,395.06
2025,1,3,11,Solar,6873.35
2025,1,3,11,Wind,443.15999999999997
2025,1,3,12,Solar,7404.830000000001
2025,1,3,12,Wind,600.93
2025,1,3,13,Solar,7840.9800000000005
2025,1,3,13,Wind,843.1199999999999
2025,1,3,14,Solar,7958.37
2025,1,3,14,Wind,999.64
2025,1,3,15,Solar,7446.96
2025,1,3,15,Wind,1124.67
2025,1,3,16,Solar,4748.23
2025,1,3,16,Wind,1255.7800000000002
2025,1,3,17,Solar,614.96
2025,1,3,17,Wind,1415.36
2025,1,3,18,Solar,0.01
2025,1,3,18,Wind,1748.1699999999998
2025,1,3,19,Solar,0.0
2025,1,3,19,Wind,2184.71
2025,1,3,20,Solar,0.0
2025,1,3,20,Wind,2580.85
2025,1,3,21,Solar,0.0
2025,1,3,21,Wind,2885.11
2025,1,3,22,Solar,0.0
2025,1,3,22,Wind,3003.6499999999996
2025,1,3,23,Solar,0.0
2025,1,3,23,Wind,3069.77
2025,1,3,24,Solar,0.0
2025,1,3,24,Wind,3161.6
2025,1,4,1,Solar,0.0
2025,1,4,1,Wind,3122.18
2025,1,4,2,Solar,0.0
2025,1,4,2,Wind,3073.8399999999997
2025,1,4,3,Solar,0.0
2025,1,4,3,Wind,2992.89
2025,1,4,4,Solar,0.0
2025,1,4,4,Wind,2921.42
2025,1,4,5,Solar,0.0
2025,1,4,5,Wind,2815.2799999999997
2025,1,4,6,Solar,0.0
2025,1,4,6,Wind,2678.63
2025,1,4,7,Solar,33.23
2025,1,4,7,Wind,2624.94
2025,1,4,8,Solar,2293.58
2025,1,4,8,Wind,2720.08
2025,1,4,9,Solar,7414.21
2025,1,4,9,Wind,2735.35
2025,1,4,10,Solar,10821.97
2025,1,4,10,Wind,2419.69
2025,1,4,11,Solar,11645.560000000001
2025,1,4,11,Wind,1859.04
2025,1,4,12,Solar,11611.920000000002
2025,1,4,12,Wind,1297.49
2025,1,4,13,Solar,11511.119999999999
2025,1,4,13,Wind,934.8399999999999
2025,1,4,14,Solar,11396.09
2025,1,4,14,Wind,769.1999999999999
2025,1,4,15,Solar,10165.91
2025,1,4,15,Wind,754.6999999999999
2025,1,4,16,Solar,6059.820000000001
2025,1,4,16,Wind,815.7099999999999
2025,1,4,17,Solar,1407.72
2025,1,4,17,Wind,884.0
2025,1,4,18,Solar,0.0
2025,1,4,18,Wind,903.3399999999999
2025,1,4,19,Solar,0.0
2025,1,4,19,Wind,864.6800000000001
2025,1,4,20,Solar,0.0
2025,1,4,20,Wind,801.35
2025,1,4,21,Solar,0.0
2025,1,4,21,Wind,710.5999999999999
2025,1,4,22,Solar,0.0
2025,1,4,22,Wind,617.77
2025,1,4,23,Solar,0.0
2025,1,4,23,Wind,561.87
2025,1,4,24,Solar,0.0
2025,1,4,24,Wind,542.0
2025,1,5,1,Solar,0.0
2025,1,5,1,Wind,647.22
2025,1,5,2,Solar,0.0
2025,1,5,2,Wind,575.45
2025,1,5,3,Solar,0.0
2025,1,5,3,Wind,527.55
2025,1,5,4,Solar,0.0
2025,1,5,4,Wind,469.17
2025,1,5,5,Solar,0.0
2025,1,5,5,Wind,381.99999999999994
2025,1,5,6,Solar,0.0
2025,1,5,6,Wind,312.86
2025,1,5,7,Solar,29.65
2025,1,5,7,Wind,284.74
2025,1,5,8,Solar,2292.46
2025,1,5,8,Wind,272.2
2025,1,5,9,Solar,7508.42
2025,1,5,9,Wind,250.75
2025,1,5,10,Solar,11000.19
2025,1,5,10,Wind,228.21
2025,1,5,11,Solar,11853.88
2025,1,5,11,Wind,219.83
2025,1,5,12,Solar,11919.41
2025,1,5,12,Wind,212.59
2025,1,5,13,Solar,11960.72
2025,1,5,13,Wind,194.44
2025,1,5,14,Solar,12137.66
2025,1,5,14,Wind,170.26
2025,1,5,15,Solar,11306.71
2025,1,5,15,Wind,147.96
2025,1,5,16,Solar,7045.91
2025,1,5,16,Wind,133.66
2025,1,5,17,Solar,1706.3000000000002
2025,1,5,17,Wind,137.82999999999998
2025,1,5,18,Solar,0.0
2025,1,5,18,Wind,174.60000000000002
2025,1,5,19,Solar,0.0
2025,1,5,19,Wind,194.1
2025,1,5,20,Solar,0.0
2025,1,5,20,Wind,182.32
2025,1,5,21,Solar,0.0
2025,1,5,21,Wind,186.56
2025,1,5,22,Solar,0.0
2025,1,5,22,Wind,192.49
2025,1,5,23,Solar,0.0
2025,1,5,23,Wind,179.20000000000002
2025,1,5,24,Solar,0.0
2025,1,5,24,Wind,170.18
2025,1,6,1,Solar,0.0
2025,1,6,1,Wind,213.86
2025,1,6,2,Solar,0.0
2025,1,6,2,Wind,248.59
2025,1,6,3,Solar,0.0
2025,1,6,3,Wind,312.48
2025,1,6,4,Solar,0.0
2025,1,6,4,Wind,417.82
2025,1,6,5,Solar,0.0
2025,1,6,5,Wind,544.64
2025,1,6,6,Solar,0.0
2025,1,6,6,Wind,751.25
2025,1,6,7,Solar,32.94
2025,1,6,7,Wind,1003.22
2025,1,6,8,Solar,2661.66
2025,1,6,8,Wind,1174.48
2025,1,6,9,Solar,8511.9
2025,1,6,9,Wind,1311.58
2025,1,6,10,Solar,12026.79
2025,1,6,10,Wind,1412.54
2025,1,6,11,Solar,12583.63
2025,1,6,11,Wind,1562.9
2025,1,6,12,Solar,12491.56
2025,1,6,12,Wind,1825.55
2025,1,6,13,Solar,12484.390000000001
2025,1,6,13,Wind,2097.79
2025,1,6,14,Solar,12695.85
2025,1,6,14,Wind,2290.4900000000002
2025,1,6,15,Solar,11927.26
2025,1,6,15,Wind,2386.6400000000003
2025,1,6,16,Solar,7537.52
2025,1,6,16,Wind,2380.2900000000004
2025,1,6,17,Solar,1872.64
2025,1,6,17,Wind,2316.23
2025,1,6,18,Solar,0.0
2025,1,6,18,Wind,2244.5
2025,1,6,19,Solar,0.0
2025,1,6,19,Wind,2119.32
2025,1,6,20,Solar,0.0
2025,1,6,20,Wind,1984.1599999999999
2025,1,6,21,Solar,0.0
2025,1,6,21,Wind,1918.24
2025,1,6,22,Solar,0.0
2025,1,6,22,Wind,1879.1
2025,1,6,23,Solar,0.0
2025,1,6,23,Wind,1853.4999999999998
2025,1,6,24,Solar,0.0
2025,1,6,24,Wind,1854.9799999999998
2025,1,7,1,Solar,0.0
2025,1,7,1,Wind,2311.73
2025,1,7,2,Solar,0.0
2025,1,7,2,Wind,1976.91
2025,1,7,3,Solar,0.0
2025,1,7,3,Wind,1798.68
2025,1,7,4,Solar,0.0
2025,1,7,4,Wind,1711.5
2025,1,7,5,Solar,0.0
2025,1,7,5,Wind,1626.33
2025,1,7,6,Solar,0.0
2025,1,7,6,Wind,1642.69
2025,1,7,7,Solar,28.95
2025,1,7,7,Wind,1739.3899999999999
2025,1,7,8,Solar,2030.29
2025,1,7,8,Wind,1823.49
2025,1,7,9,Solar,6736.469999999999
2025,1,7,9,Wind,1997.95
2025,1,7,10,Solar,10019.970000000001
2025,1,7,10,Wind,2257.7
2025,1,7,11,Solar,10922.99
2025,1,7,11,Wind,2585.06
2025,1,7,12,Solar,11081.57
2025,1,7,12,Wind,2852.57
2025,1,7,13,Solar,11199.98
2025,1,7,13,Wind,2949.07
2025,1,7,14,Solar,11293.3
2025,1,7,14,Wind,2972.08
2025,1,7,15,Solar,10479.96
2025,1,7,15,Wind,2949.0400000000004
2025,1,7,16,Solar,6665.180000000001
2025,1,7,16,Wind,2850.13
2025,1,7,17,Solar,1673.72
2025,1,7,17,Wind,2729.09
2025,1,7,18,Solar,0.0
2025,1,7,18,Wind,2667.8
2025,1,7,19,Solar,0.0
2025,1,7,19,Wind,2646.04
2025,1,7,20,Solar,0.0
2025,1,7,20,Wind,2651.07
2025,1,7,21,Solar,0.0
2025,1,7,21,Wind,2658.6
2025,1,7,22,Solar,0.0
2025,1,7,22,Wind,2646.63
2025,1,7,23,Solar,0.0
2025,1,7,23,Wind,2591.4700000000003
2025,1,7,24,Solar,0.0
2025,1,7,24,Wind,2463.8500000000004
2025,1,8,1,Solar,0.0
2025,1,8,1,Wind,2862.96
2025,1,8,2,Solar,0.0
2025,1,8,2,Wind,2658.11
2025,1,8,3,Solar,0.0
2025,1,8,3,Wind,2534.23
2025,1,8,4,Solar,0.0
2025,1,8,4,Wind,2453.67
2025,1,8,5,Solar,0.0
2025,1,8,5,Wind,2362.96
2025,1,8,6,Solar,0.0
2025,1,8,6,Wind,2264.08
2025,1,8,7,Solar,23.81
2025,1,8,7,Wind,2081.7799999999997
2025,1,8,8,Solar,2289.76
2025,1,8,8,Wind,1868.9699999999998
2025,1,8,9,Solar,7621.7300000000005
2025,1,8,9,Wind,1716.7
2025,1,8,10,Solar,11215.8
2025,1,8,10,Wind,1637.09
2025,1,8,11,Solar,12064.039999999999
2025,1,8,11,Wind,1644.24
2025,1,8,12,Solar,12028.75
2025,1,8,12,Wind,1668.9
2025,1,8,13,Solar,12002.95
2025,1,8,13,Wind,1643.44
2025,1,8,14,Solar,12197.64
2025,1,8,14,Wind,1559.1499999999999
2025,1,8,15,Solar,11585.56
2025,1,8,15,Wind,1427.6000000000001
2025,1,8,16,Solar,7608.68
2025,1,8,16,Wind,1227.6100000000001
2025,1,8,17,Solar,2002.33
2025,1,8,17,Wind,968.43
2025,1,8,18,Solar,0.0
2025,1,8,18,Wind,762.5699999999999
2025,1,8,19,Solar,0.0
2025,1,8,19,Wind,656.62
2025,1,8,20,Solar,0.0
2025,1,8,20,Wind,578.97
2025,1,8,21,Solar,0.0
2025,1,8,21,Wind,517.1800000000001
2025,1,8,22,Solar,0.0
2025,1,8,22,Wind,466.92
2025,1,8,23,Solar,0.0
2025,1,8,23,Wind,420.9
2025,1,8,24,Solar,0.0
2025,1,8,24,Wind,380.84000000000003
2025,1,9,1,Solar,0.0
2025,1,9,1,Wind,360.65999999999997
2025,1,9,2,Solar,0.0
2025,1,9,2,Wind,325.75
2025,1,9,3,Solar,0.0
2025,1,9,3,Wind,304.01
2025,1,9,4,Solar,0.0
2025,1,9,4,Wind,314.1
2025,1,9,5,Solar,0.0
2025,1,9,5,Wind,346.59000000000003
2025,1,9,6,Solar,0.0
2025,1,9,6,Wind,388.07
2025,1,9,7,Solar,38.93
2025,1,9,7,Wind,423.83
2025,1,9,8,Solar,2966.94
2025,1,9,8,Wind,462.45000000000005
2025,1,9,9,Solar,9378.01
2025,1,9,9,Wind,530.18
2025,1,9,10,Solar,13007.369999999999
2025,1,9,10,Wind,626.24
2025,1,9,11,Solar,13276.050000000001
2025,1,9,11,Wind,729.34
2025,1,9,12,Solar,12980.45
2025,1,9,12,Wind,823.02
2025,1,9,13,Solar,12945.119999999999
2025,1,9,13,Wind,894.4000000000001
2025,1,9,14,Solar,13264.039999999999
2025,1,9,14,Wind,923.9
2025,1,9,15,Solar,12799.76
2025,1,9,15,Wind,924.74
2025,1,9,16,Solar,8512.119999999999
2025,1,9,16,Wind,882.49
2025,1,9,17,Solar,2268.84
2025,1,9,17,Wind,817.8299999999999
2025,1,9,18,Solar,0.37
2025,1,9,18,Wind,792.1
2025,1,9,19,Solar,0.0
2025,1,9,19,Wind,804.8499999999999
2025,1,9,20,Solar,0.0
2025,1,9,20,Wind,816.55
2025,1,9,21,Solar,0.0
2025,1,9,21,Wind,830.6899999999999
2025,1,9,22,Solar,0.0
2025,1,9,22,Wind,847.5600000000001
2025,1,9,23,Solar,0.0
2025,1,9,23,Wind,859.8199999999999
