Year,Month,Day,Hour,$/MWh
2022,11,30,24,128.84003
2022,12,1,1,152.76505
2022,12,1,2,144.36569
2022,12,1,3,140.59366
2022,12,1,4,139.17842
2022,12,1,5,140.77426
2022,12,1,6,151.57596
2022,12,1,7,173.06917
2022,12,1,8,171.60953
2022,12,1,9,149.0
2022,12,1,10,142.91858
2022,12,1,11,142.47533
2022,12,1,12,140.0
2022,12,1,13,139.67065
2022,12,1,14,137.6
2022,12,1,15,142.91858
2022,12,1,16,175.84746
2022,12,1,17,198.40396
2022,12,1,18,224.90608
2022,12,1,19,202.53783
2022,12,1,20,195.53159
2022,12,1,21,203.50488
2022,12,1,22,186.16714
2022,12,1,23,153.97249
2022,12,1,24,153.67278
2022,12,2,1,157.89722
2022,12,2,2,150.98138
2022,12,2,3,146.55586
2022,12,2,4,146.55586
2022,12,2,5,151.90521
2022,12,2,6,160.27
2022,12,2,7,205.0
2022,12,2,8,219.2342
2022,12,2,9,179.75
2022,12,2,10,162.82002
2022,12,2,11,154.59212
2022,12,2,12,151.74818
2022,12,2,13,145.07643
2022,12,2,14,148.00197
2022,12,2,15,151.98
2022,12,2,16,194.72739
2022,12,2,17,225.0
2022,12,2,18,271.45908
2022,12,2,19,247.13597
2022,12,2,20,238.27678
2022,12,2,21,225.0
2022,12,2,22,217.6045
2022,12,2,23,211.40816
2022,12,2,24,185.61005
2022,12,3,1,157.9
2022,12,3,2,157.93076
2022,12,3,3,148.74152
2022,12,3,4,150.0
2022,12,3,5,154.31
2022,12,3,6,155.77
2022,12,3,7,171.60414
2022,12,3,8,169.6701
2022,12,3,9,147.79832
2022,12,3,10,133.31683
2022,12,3,11,137.16763
2022,12,3,12,126.91889
2022,12,3,13,129.84863
2022,12,3,14,128.8284
2022,12,3,15,130.35733
2022,12,3,16,155.59583
2022,12,3,17,182.04797
2022,12,3,18,188.37993
2022,12,3,19,185.21979
2022,12,3,20,185.25981
2022,12,3,21,182.5221
2022,12,3,22,178.06041
2022,12,3,23,154.05128
2022,12,3,24,146.14044
2022,12,4,1,138.07594
2022,12,4,2,140.25388
2022,12,4,3,130.22987
2022,12,4,4,126.72685
2022,12,4,5,128.40419
2022,12,4,6,140.24432
2022,12,4,7,151.86986
