Year,Month,Day,Hour,LMP
2023,5,1,1,28.49817333333333
2023,5,1,2,28.52272333333333
2023,5,1,3,27.33256
2023,5,1,4,25.91481
2023,5,1,5,29.691936666666667
2023,5,1,6,39.86304333333334
2023,5,1,7,57.461906666666664
2023,5,1,8,35.11123666666666
2023,5,1,9,19.023876666666666
2023,5,1,10,11.242893333333333
2023,5,1,11,5.073113333333333
2023,5,1,12,3.226423333333333
2023,5,1,13,1.3510766666666667
2023,5,1,14,3.01139
2023,5,1,15,2.765416666666667
2023,5,1,16,7.26415
2023,5,1,17,15.44692
2023,5,1,18,34.13925
2023,5,1,19,51.48941666666667
2023,5,1,20,70.52710333333333
2023,5,1,21,71.65332333333333
2023,5,1,22,57.38808
2023,5,1,23,49.02795333333333
2023,5,1,24,43.031303333333334
2023,5,2,1,35.33955666666667
2023,5,2,2,34.66090333333333
2023,5,2,3,34.44699333333333
2023,5,2,4,34.41186666666667
2023,5,2,5,37.65969666666667
2023,5,2,6,49.12116
2023,5,2,7,67.04102999999999
2023,5,2,8,45.43626666666666
2023,5,2,9,38.13207666666667
2023,5,2,10,31.437070000000002
2023,5,2,11,26.38709
2023,5,2,12,20.70958
2023,5,2,13,15.381036666666667
2023,5,2,14,13.905416666666666
2023,5,2,15,13.41075
2023,5,2,16,13.166513333333333
2023,5,2,17,22.274923333333334
2023,5,2,18,37.94687
2023,5,2,19,50.54809
2023,5,2,20,61.03076333333334
2023,5,2,21,71.90568
2023,5,2,22,60.837183333333336
2023,5,2,23,47.76202333333333
2023,5,2,24,44.288846666666664
2023,5,3,1,39.685026666666666
2023,5,3,2,35.85507666666667
2023,5,3,3,33.144569999999995
2023,5,3,4,30.74437
2023,5,3,5,34.746633333333335
2023,5,3,6,52.10797333333333
2023,5,3,7,58.447816666666675
2023,5,3,8,40.62372
2023,5,3,9,30.565466666666666
2023,5,3,10,27.014799999999997
2023,5,3,11,19.802376666666667
2023,5,3,12,15.45952
2023,5,3,13,12.581636666666666
2023,5,3,14,9.793786666666668
2023,5,3,15,10.88394
2023,5,3,16,15.605003333333334
2023,5,3,17,24.066593333333334
2023,5,3,18,36.43390333333333
2023,5,3,19,46.468790000000006
2023,5,3,20,59.74478
2023,5,3,21,64.61932333333333
2023,5,3,22,55.33121666666667
2023,5,3,23,43.02627666666667
2023,5,3,24,37.4937
2023,5,4,1,27.193646666666666
2023,5,4,2,25.247663333333335
2023,5,4,3,23.890599999999996
2023,5,4,4,23.897703333333336
2023,5,4,5,26.39947666666667
2023,5,4,6,38.60985
2023,5,4,7,43.196220000000004
2023,5,4,8,32.15056666666667
2023,5,4,9,20.10576
2023,5,4,10,20.274803333333335
2023,5,4,11,14.730976666666669
2023,5,4,12,10.257800000000001
2023,5,4,13,4.802033333333333
2023,5,4,14,2.371966666666667
2023,5,4,15,2.0496366666666668
2023,5,4,16,4.54625
2023,5,4,17,8.983873333333333
2023,5,4,18,22.96529
2023,5,4,19,31.49303666666667
2023,5,4,20,41.70592333333334
2023,5,4,21,47.35996666666667
2023,5,4,22,40.93129666666667
2023,5,4,23,34.31199
2023,5,4,24,30.362593333333336
2023,5,5,1,22.420143333333332
2023,5,5,2,20.07314
2023,5,5,3,19.409476666666666
2023,5,5,4,19.6936
2023,5,5,5,21.794706666666666
2023,5,5,6,32.647870000000005
2023,5,5,7,35.15742
2023,5,5,8,21.801323333333332
2023,5,5,9,11.711063333333334
2023,5,5,10,7.96396
2023,5,5,11,0.11095666666666669
2023,5,5,12,-0.7878233333333333
2023,5,5,13,-4.287203333333333
2023,5,5,14,-5.319576666666666
2023,5,5,15,-4.924323333333334
2023,5,5,16,-1.3528466666666665
2023,5,5,17,0.4957533333333333
2023,5,5,18,11.182446666666666
2023,5,5,19,25.80571666666667
2023,5,5,20,36.522396666666666
2023,5,5,21,43.344923333333334
2023,5,5,22,37.63304
2023,5,5,23,29.27680666666667
2023,5,5,24,26.954393333333332
2023,5,6,1,18.881466666666665
2023,5,6,2,16.958353333333335
2023,5,6,3,15.634626666666668
2023,5,6,4,16.399836666666666
2023,5,6,5,17.75641
2023,5,6,6,21.32779
2023,5,6,7,19.20855333333333
2023,5,6,8,5.005603333333333
2023,5,6,9,-0.7531100000000001
2023,5,6,10,-6.556106666666667
2023,5,6,11,-10.491573333333333
