Year,Month,Day,Hour,$/MWh
2025,1,31,24,45.36613
2025,2,1,1,42.92899
2025,2,1,2,42.40987
2025,2,1,3,41.65786
2025,2,1,4,41.18827
2025,2,1,5,40.27833
2025,2,1,6,41.46374
2025,2,1,7,47.89082
2025,2,1,8,44.73439
2025,2,1,9,32.87986
2025,2,1,10,25.01547
2025,2,1,11,21.15434
2025,2,1,12,19.06569
2025,2,1,13,16.44432
2025,2,1,14,14.69038
2025,2,1,15,16.75823
2025,2,1,16,23.07765
2025,2,1,17,42.18647
2025,2,1,18,54.98305
2025,2,1,19,49.03627
2025,2,1,20,48.96246
2025,2,1,21,48.61628
2025,2,1,22,48.35622
2025,2,1,23,45.45496
2025,2,1,24,42.59996
2025,2,2,1,45.83163
2025,2,2,2,45.28005
2025,2,2,3,45.06447
2025,2,2,4,43.43207
2025,2,2,5,42.83081
2025,2,2,6,44.84645
2025,2,2,7,47.60047
2025,2,2,8,45.27329
2025,2,2,9,24.48159
2025,2,2,10,15.19136
2025,2,2,11,13.00147
2025,2,2,12,12.28075
2025,2,2,13,12.23032
2025,2,2,14,11.17554
2025,2,2,15,11.85916
2025,2,2,16,16.27477
2025,2,2,17,43.81278
2025,2,2,18,54.27975
2025,2,2,19,52.73034
2025,2,2,20,51.63416
2025,2,2,21,51.53545
2025,2,2,22,50.60005
2025,2,2,23,48.35086
2025,2,2,24,47.51659
2025,2,3,1,43.13593
2025,2,3,2,42.71131
2025,2,3,3,42.73431
2025,2,3,4,42.68654
2025,2,3,5,42.44895
2025,2,3,6,46.77263
2025,2,3,7,60.69755
2025,2,3,8,60.68216
2025,2,3,9,51.01453
2025,2,3,10,40.29784
2025,2,3,11,35.80298
2025,2,3,12,35.36589
2025,2,3,13,35.96571
2025,2,3,14,36.32753
2025,2,3,15,34.475
2025,2,3,16,41.76568
2025,2,3,17,58.91298
2025,2,3,18,64.32829
2025,2,3,19,62.25425
2025,2,3,20,60.3892
2025,2,3,21,58.73454
2025,2,3,22,56.02307
2025,2,3,23,48.54118
2025,2,3,24,47.36907
2025,2,4,1,56.82032
2025,2,4,2,51.67514
2025,2,4,3,49.24735
2025,2,4,4,48.37139
2025,2,4,5,49.4297
2025,2,4,6,56.99379
2025,2,4,7,63.67375
2025,2,4,8,60.02528
2025,2,4,9,46.24447
2025,2,4,10,36.65562
2025,2,4,11,31.23577
2025,2,4,12,30.2219
2025,2,4,13,28.98401
2025,2,4,14,28.23296
2025,2,4,15,28.03899
2025,2,4,16,35.98523
2025,2,4,17,63.46505
2025,2,4,18,66.55582
2025,2,4,19,65.65299
2025,2,4,20,64.58078
2025,2,4,21,63.30018
2025,2,4,22,59.63935
2025,2,4,23,58.07155
2025,2,4,24,53.45081
2025,2,5,1,44.87076
2025,2,5,2,42.30078
2025,2,5,3,42.20127
2025,2,5,4,42.2489
2025,2,5,5,43.48675
2025,2,5,6,53.10376
2025,2,5,7,61.10147
2025,2,5,8,61.31284
2025,2,5,9,43.51368
2025,2,5,10,35.25149
2025,2,5,11,29.9125
2025,2,5,12,23.50428
2025,2,5,13,22.10522
2025,2,5,14,17.03812
2025,2,5,15,16.58107
2025,2,5,16,23.14693
2025,2,5,17,50.33906
2025,2,5,18,63.49952
2025,2,5,19,65.00948
2025,2,5,20,62.6358
2025,2,5,21,64.46893
2025,2,5,22,61.09789
2025,2,5,23,56.06359
2025,2,5,24,51.93886
2025,2,6,1,44.85023
2025,2,6,2,43.09983
2025,2,6,3,42.84178
2025,2,6,4,42.8867
2025,2,6,5,44.67607
2025,2,6,6,51.43122
2025,2,6,7,60.90651
2025,2,6,8,58.6172
2025,2,6,9,41.55733
2025,2,6,10,30.18151
2025,2,6,11,24.9951
2025,2,6,12,23.37984
2025,2,6,13,22.74134
2025,2,6,14,20.75377
